Matchup,WSH @ BAL
Pitcher,Andrew Alvarez
Pitcher Team,WSH
Opposing Team,BAL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,4.0,1.00,="3-15",.200,.267,0.067,0,1,0,2,25.0,1,.250,.517
Batting Second,3.1,1.20,="2-12",.167,.167,0.000,0,0,0,0,28.6,2,.286,.453
Batting Third,3.1,1.80,="6-16",.375,.688,0.313,1,0,1,2,18.8,0,.375,1.063
Batting Fourth,3.2,1.09,="3-14",.214,.214,0.000,0,0,0,1,40.0,1,.267,.481
Batting Fifth,3.2,1.64,="6-16",.375,.438,0.063,0,1,0,0,43.8,0,.375,.813
Batting Sixth,3.1,1.80,="4-14",.286,.643,0.357,1,2,0,1,31.3,2,.375,1.018
Batting Seventh,3.1,2.10,="2-11",.182,.273,0.091,0,1,0,0,12.5,5,.438,.711
Batting Eighth,4.0,1.00,="3-13",.231,.231,0.000,0,0,0,1,28.6,1,.286,.517
Batting Ninth,3.1,1.20,="4-14",.286,.571,0.285,0,2,1,1,14.3,0,.286,.857

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Taylor Ward RHB,Batting First ​,="56-225",.249,.360,0.111,5,10,0,19,21.1,37,.357,.717
Gunnar Henderson LHB,Batting Second ​,="54-228",.237,.443,0.206,12,9,1,29,21.4,23,.319,.762
Pete Alonso RHB,Batting Third ​,="28-120",.233,.433,0.200,6,6,0,18,28.2,17,.331,.764
Coby Mayo RHB,Batting Fourth ​,="1-5",.200,.800,0.600,1,0,0,4,33.3,0,.167,.967
Tyler O'Neill RHB,Batting Fifth ​,="7-49",.143,.143,0.000,0,0,0,1,25.0,6,.250,.393
Samuel Basallo LHB,Batting Sixth ​,="10-20",.500,1.050,0.550,3,2,0,5,19.0,1,.524,1.574
Leody Taveras SHB,Batting Seventh ​,="10-49",.204,.347,0.143,0,1,3,6,28.8,8,.316,.663
Jackson Holliday LHB,Batting Eighth ​,="6-34",.176,.324,0.148,1,0,1,3,37.5,5,.275,.599
Blaze Alexander RHB,Batting Ninth ​,="35-127",.276,.339,0.063,0,8,0,9,26.2,9,.326,.665
