Matchup,MIL @ ATH
Pitcher,Jack Perkins
Pitcher Team,ATH
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,32.0,144,0.252,0.303,0.346,0.094,1.28,2,0.56,6.2%,30.3%,27.1%,21.8%,15.8%,10.97,68.1%,5.7%,5.6%,34.4%,31.1%,7.1%,14.4%
vsLHB,15.0,68,0.203,0.254,0.220,0.017,1.13,0,-,7.4%,33.6%,32.4%,22.7%,16.4%,13.20,60.3%,4.6%,2.7%,40.5%,21.6%,-,18.9%
vsRHB,17.0,76,0.294,0.349,0.456,0.162,1.41,2,1.06,5.3%,27.2%,22.4%,20.7%,15.2%,9.00,75.0%,6.8%,7.5%,30.2%,37.7%,10.0%,11.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jackson Chourio RHB,,+320,34,24,5.60,3,4,0.227,0.292,0.682,0.455,0.407,8.3%,21.9%,25.0%,10.3%,93.6,306.2,6,5,18.8%,-,6.2%,43.8%,37.5%,74.5,51.9%,37.0%,22.2%,96.4%,50.0%,25.0%,25.0%,25.0%,31.2%,37.5%,31.2%,0.0%
David Hamilton LHB,,+690,14,19,4.20,3,3,0.333,0.368,0.833,0.500,0.506,5.3%,34.5%,31.6%,14.1%,92.5,316.3,6,2,8.3%,-,-,50.0%,41.7%,70.0,8.0%,40.0%,16.0%,92.6%,50.0%,50.0%,16.7%,33.3%,25.0%,41.7%,33.3%,27.8%
Brice Turang LHB,,+360,21,20,5.20,1,2,0.222,0.300,0.389,0.167,0.303,10.0%,27.3%,35.0%,11.8%,86.0,292.5,2,2,-,-,-,45.5%,27.3%,68.3,8.3%,25.0%,8.3%,85.7%,18.2%,50.0%,27.3%,54.5%,18.2%,18.2%,63.6%,29.4%
William Contreras RHB,,+456,20,17,5.00,1,1,0.118,0.118,0.294,0.176,0.176,-,17.2%,35.3%,8.8%,92.4,309.8,4,1,9.1%,-,-,36.4%,36.4%,71.4,26.1%,34.8%,8.7%,85.2%,36.4%,25.0%,27.3%,36.4%,18.2%,45.5%,36.4%,30.8%
Jake Bauers LHB,,+328,18,14,4.40,1,1,0.385,0.429,0.769,0.385,0.505,7.1%,37.5%,21.4%,16.0%,98.1,282.7,5,1,30.0%,-,10.0%,70.0%,70.0%,77.2,79.2%,33.3%,25.0%,82.8%,20.0%,50.0%,60.0%,20.0%,20.0%,40.0%,40.0%,36.4%
Christian Yelich LHB,,+443,19,22,5.80,0,1,0.150,0.227,0.200,0.050,0.198,9.1%,40.5%,45.5%,19.1%,88.2,272.1,2,0,-,-,10.0%,30.0%,30.0%,72.8,28.1%,12.5%,9.4%,86.5%,10.0%,0.0%,20.0%,70.0%,60.0%,40.0%,-,16.7%
Garrett Mitchell LHB,,+440,35,18,4.40,0,3,0.400,0.500,0.667,0.267,0.489,16.7%,35.3%,33.3%,15.6%,97.0,370.5,4,3,33.3%,-,-,66.7%,44.4%,76.2,61.5%,19.2%,15.4%,92.9%,22.2%,0.0%,22.2%,55.6%,22.2%,22.2%,55.6%,36.8%
Sal Frelick LHB,,+790,8,18,3.40,0,0,0.062,0.167,0.062,-,0.122,11.1%,2.7%,5.6%,1.4%,86.0,236.9,2,1,-,-,6.7%,33.3%,26.7%,67.3,-,33.3%,16.7%,96.8%,13.3%,0.0%,20.0%,53.3%,46.7%,26.7%,26.7%,20.0%
Andrew Vaughn RHB,—,N/A,8,16,3.40,0,0,0.125,0.125,0.125,-,0.111,-,13.6%,18.8%,7.3%,84.4,246.9,2,1,-,-,7.7%,23.1%,23.1%,67.9,5.3%,42.1%,5.3%,90.5%,30.8%,0.0%,15.4%,46.2%,15.4%,23.1%,61.5%,11.1%
Joey Ortiz RHB,—,N/A,7,13,3.20,0,1,0.111,0.385,0.111,-,0.268,30.8%,0.0%,7.7%,-,81.1,328.7,3,1,-,-,-,25.0%,25.0%,72.0,10.5%,15.8%,5.3%,90.5%,50.0%,0.0%,-,37.5%,-,50.0%,50.0%,20.0%
Luis Rengifo SHB,,+930,17,12,4.40,0,0,0.167,0.167,0.167,-,0.148,-,16.0%,8.3%,9.1%,86.2,194.3,0,0,-,-,9.1%,27.3%,27.3%,70.8,15.0%,35.0%,5.0%,95.2%,-,-,27.3%,63.6%,27.3%,36.4%,36.4%,33.3%
Blake Perkins SHB,—,N/A,9,8,1.80,0,1,0.125,0.125,0.125,-,0.111,-,33.3%,25.0%,14.7%,81.1,254.3,1,1,-,-,16.7%,66.7%,-,69.6,8.3%,33.3%,8.3%,92.3%,16.7%,0.0%,-,50.0%,50.0%,33.3%,16.7%,11.1%
Gary Sanchez RHB,—,N/A,30,7,2.40,0,0,-,0.429,-,-,0.278,42.9%,33.3%,14.3%,15.4%,72.6,249.8,0,0,-,-,-,-,-,68.4,-,9.1%,-,91.7%,66.7%,0.0%,-,33.3%,-,66.7%,33.3%,0.0%
