Matchup,TEX @ TOR
Pitcher,Nathan Eovaldi
Pitcher Team,TEX
Opposing Team,TOR

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,93.1,388,0.245,0.315,0.432,0.187,1.18,17,1.64,5.7%,29.7%,23.2%,22.4%,15.6%,8.68,65.6%,6.5%,8.6%,39.2%,24.6%,25.8%,16.0%
vsLHB,52.0,217,0.259,0.325,0.463,0.205,1.23,10,1.73,5.1%,28.2%,21.2%,19.0%,15.1%,7.96,66.4%,4.8%,10.8%,43.0%,27.2%,23.3%,17.1%
vsRHB,41.1,171,0.227,0.301,0.390,0.162,1.11,7,1.52,6.4%,32.1%,25.7%,27.5%,16.3%,9.58,64.5%,8.9%,5.5%,33.6%,20.9%,30.4%,14.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kazuma Okamoto RHB,,N/A,29,19,4.20,3,3,0.400,0.526,1.067,0.667,0.632,15.8%,33.3%,10.5%,15.1%,91.3,266.5,5,4,23.1%,15.4%,38.5%,46.2%,38.5%,74.1,41.9%,29.0%,12.9%,93.9%,38.5%,40.0%,23.1%,23.1%,53.8%,23.1%,23.1%,30.0%
Nathan Lukes LHB,,N/A,21,18,3.20,2,2,0.235,0.278,0.647,0.412,0.389,5.6%,29.3%,27.8%,15.0%,82.9,321.2,5,3,-,-,8.3%,33.3%,41.7%,66.9,5.3%,23.7%,5.3%,92.7%,33.3%,25.0%,33.3%,25.0%,33.3%,41.7%,25.0%,26.1%
George Springer RHB,,N/A,31,24,4.80,1,1,0.333,0.417,0.524,0.190,0.407,12.5%,15.0%,12.5%,6.4%,91.2,287.8,4,2,5.6%,5.6%,11.1%,44.4%,38.9%,72.8,33.3%,30.8%,7.7%,97.5%,16.7%,0.0%,27.8%,55.6%,22.2%,55.6%,22.2%,36.4%
Brandon Valenzuela SHB,—,N/A,11,23,4.40,1,4,0.381,0.435,0.619,0.238,0.452,8.7%,24.4%,13.0%,12.2%,92.8,273.4,5,3,11.1%,5.6%,38.9%,50.0%,50.0%,73.8,31.7%,29.3%,12.2%,100.0%,38.9%,14.3%,33.3%,27.8%,61.1%,33.3%,5.6%,46.2%
Daulton Varsho LHB,—,N/A,17,22,4.00,1,1,0.158,0.227,0.368,0.211,0.253,9.1%,12.5%,22.7%,6.0%,83.8,246.9,4,2,13.3%,6.7%,33.3%,33.3%,33.3%,72.9,30.6%,19.4%,13.9%,94.7%,40.0%,16.7%,13.3%,33.3%,53.3%,33.3%,13.3%,27.3%
Vladimir Guerrero Jr. RHB,,N/A,20,18,4.40,1,1,0.438,0.444,0.688,0.250,0.470,5.6%,22.9%,5.6%,10.4%,89.6,279.5,3,1,12.5%,-,6.2%,50.0%,31.2%,75.8,61.3%,25.8%,19.4%,88.6%,18.8%,0.0%,25.0%,56.2%,25.0%,56.2%,18.8%,43.5%
Jesus Sanchez LHB,—,N/A,36,17,3.80,1,1,0.333,0.412,0.600,0.267,0.432,11.8%,31.6%,29.4%,17.1%,92.4,297.3,2,2,10.0%,10.0%,20.0%,70.0%,20.0%,74.2,44.1%,20.6%,14.7%,91.9%,20.0%,50.0%,10.0%,60.0%,60.0%,40.0%,-,28.6%
Davis Schneider RHB,,N/A,26,14,3.00,1,1,0.214,0.214,0.429,0.214,0.277,-,38.5%,28.6%,17.9%,85.5,189.9,2,1,10.0%,-,10.0%,60.0%,30.0%,71.0,8.7%,30.4%,17.4%,88.5%,40.0%,25.0%,-,20.0%,30.0%,40.0%,30.0%,25.0%
Ernie Clement RHB,,N/A,19,17,3.00,0,0,0.250,0.235,0.312,0.062,0.232,-,13.3%,-,8.9%,85.6,262.7,6,0,-,-,17.6%,29.4%,41.2%,68.6,-,42.9%,7.1%,93.3%,29.4%,0.0%,35.3%,23.5%,23.5%,35.3%,41.2%,50.0%
Myles Straw RHB,,N/A,10,15,2.60,0,0,0.286,0.333,0.286,-,0.281,6.7%,5.6%,6.7%,2.0%,86.7,160.9,0,0,-,-,-,15.4%,23.1%,68.1,-,62.5%,6.2%,88.9%,-,-,15.4%,69.2%,30.8%,38.5%,30.8%,13.3%
