Matchup,SD @ PHI
Pitcher,Randy Vasquez
Pitcher Team,SD
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,60.1,249,0.252,0.319,0.425,0.173,1.23,8,1.19,6.8%,22.6%,18.9%,15.2%,11.2%,7.01,63.2%,7.8%,13.2%,45.6%,29.1%,13.2%,19.2%
vsLHB,32.2,141,0.266,0.325,0.430,0.164,1.35,3,0.83,7.1%,20.7%,19.9%,17.0%,10.2%,7.71,62.4%,8.4%,8.8%,45.1%,26.5%,7.4%,22.5%
vsRHB,27.0,108,0.235,0.310,0.418,0.184,1.11,5,1.67,6.5%,25.1%,17.6%,13.1%,12.4%,6.33,64.2%,7.0%,18.8%,46.2%,32.5%,19.2%,15.0%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kyle Schwarber LHB,+250,24,4.40,2,3,0.182,0.250,0.455,0.273,0.303,8.3%,36.5%,54.2%,17.8%,99.2,22.2%,22.2%,44.4%,77.8%,33.3%,77.2,78.3%,13.0%,8.7%,90.2%,55.6%,20.0%,22.2%,22.2%,66.7%,33.3%,-,23.8%
Trea Turner RHB,+630,18,4.20,2,3,0.167,0.167,0.500,0.333,0.283,-,11.8%,16.7%,6.7%,93.5,20.0%,13.3%,13.3%,60.0%,40.0%,72.5,21.9%,28.1%,9.4%,97.0%,53.3%,25.0%,20.0%,26.7%,26.7%,33.3%,40.0%,38.9%
Alec Bohm RHB,+840,23,4.00,1,1,0.238,0.304,0.429,0.190,0.319,8.7%,15.9%,13.0%,8.0%,97.0,11.1%,-,-,66.7%,27.8%,70.9,2.7%,40.5%,18.9%,86.0%,27.8%,20.0%,16.7%,55.6%,22.2%,50.0%,27.8%,39.1%
Bryson Stott LHB,+650,20,3.80,1,2,0.211,0.250,0.368,0.158,0.271,5.0%,20.5%,5.0%,9.6%,92.6,16.7%,-,-,55.6%,22.2%,70.0,8.1%,40.5%,16.2%,94.9%,33.3%,16.7%,11.1%,44.4%,16.7%,61.1%,22.2%,30.4%
Bryce Harper LHB,+420,18,3.80,1,1,0.286,0.444,0.571,0.286,0.430,22.2%,28.1%,16.7%,12.0%,90.1,9.1%,9.1%,9.1%,36.4%,27.3%,75.0,56.2%,15.6%,9.4%,100.0%,18.2%,0.0%,27.3%,54.5%,45.5%,45.5%,9.1%,44.4%
J.T. Realmuto RHB,+820,16,3.00,1,1,0.385,0.500,0.615,0.231,0.480,12.5%,10.3%,18.8%,5.9%,90.6,10.0%,10.0%,20.0%,60.0%,50.0%,73.4,39.1%,21.7%,4.3%,88.5%,20.0%,50.0%,20.0%,40.0%,20.0%,60.0%,20.0%,33.3%
Rafael Marchan SHB,N/A,17,2.60,0,0,0.062,0.118,0.062,-,0.091,5.9%,13.5%,5.9%,7.0%,82.5,-,-,26.7%,6.7%,20.0%,66.6,-,25.0%,-,97.3%,6.7%,0.0%,13.3%,33.3%,46.7%,20.0%,33.3%,21.7%
Edmundo Sosa RHB,N/A,16,2.40,0,0,0.067,0.125,0.067,-,0.101,-,13.8%,25.0%,7.5%,79.9,9.1%,9.1%,9.1%,36.4%,18.2%,72.9,28.0%,24.0%,4.0%,86.2%,9.1%,0.0%,18.2%,45.5%,36.4%,36.4%,27.3%,15.4%
Adolis Garcia RHB,+550,15,3.00,0,0,-,0.200,-,-,0.130,20.0%,55.6%,40.0%,25.0%,91.9,-,-,-,40.0%,-,70.0,17.4%,17.4%,4.3%,85.2%,20.0%,0.0%,-,60.0%,-,60.0%,40.0%,25.0%
Justin Crawford LHB,+1260,13,3.40,0,0,0.077,0.077,0.154,0.077,0.098,-,14.7%,15.4%,7.8%,87.7,-,-,-,27.3%,9.1%,70.5,15.2%,27.3%,-,97.1%,27.3%,0.0%,9.1%,45.5%,27.3%,54.5%,18.2%,31.6%
Garrett Stubbs LHB,N/A,13,2.80,0,0,0.200,0.385,0.200,-,0.298,7.7%,16.7%,15.4%,9.8%,76.6,-,-,12.5%,50.0%,25.0%,68.7,-,27.8%,-,90.0%,25.0%,0.0%,25.0%,25.0%,12.5%,75.0%,12.5%,41.7%
Brandon Marsh LHB,+680,11,3.00,0,0,0.300,0.364,0.400,0.100,0.336,9.1%,21.9%,27.3%,11.9%,98.7,14.3%,-,14.3%,71.4%,57.1%,71.7,13.3%,23.3%,13.3%,93.8%,-,-,57.1%,42.9%,42.9%,57.1%,-,36.8%
Steward Berroa SHB,N/A,1,2.00,0,0,1.000,1.000,1.000,-,0.890,-,0.0%,-,-,91.8,-,-,-,-,100.0%,68.6,-,100.0%,-,100.0%,-,-,100.0%,-,-,100.0%,-,100.0%
