Matchup,LAA @ SEA
Pitcher,Jose Soriano
Pitcher Team,LAA
Opposing Team,SEA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.1,238,0.262,0.351,0.426,0.163,1.66,9,1.58,13.4%,32.8%,21.8%,19.5%,14.9%,9.12,57.7%,5.5%,9.3%,40.7%,21.3%,28.1%,14.0%
vsLHB,29.0,141,0.288,0.380,0.466,0.178,1.93,7,2.17,15.6%,30.0%,17.0%,16.9%,13.7%,7.45,55.3%,4.6%,8.6%,43.0%,20.4%,36.8%,12.9%
vsRHB,22.1,97,0.226,0.307,0.369,0.143,1.30,2,0.81,10.3%,36.7%,28.9%,22.6%,16.6%,11.28,61.2%,6.8%,10.5%,36.8%,22.8%,15.4%,15.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Cole Young LHB,,+900,13,23,4.00,2,3,0.261,0.261,0.565,0.304,0.354,-,6.5%,4.3%,2.8%,92.9,265.2,5,2,9.1%,4.5%,13.6%,45.5%,36.4%,72.0,24.1%,55.2%,17.2%,93.5%,63.7%,27.3%,33.3%,36.4%,31.8%,18.2%,68.2%,13.6%,34.8%
Randy Arozarena RHB,,+700,19,25,4.40,1,1,0.143,0.280,0.286,0.143,0.262,12.0%,31.9%,20.0%,15.3%,89.2,274.1,3,1,6.2%,-,-,37.5%,18.8%,70.8,11.4%,22.7%,6.8%,93.6%,31.2%,25.0%,25.0%,6.2%,62.5%,50.0%,25.0%,25.0%,16.0%
Dominic Canzone LHB,,+480,12,18,3.60,1,2,0.250,0.333,0.500,0.250,0.358,11.1%,19.4%,16.7%,10.5%,98.3,292.2,4,4,7.7%,-,7.7%,61.5%,23.1%,75.2,55.2%,41.4%,27.6%,93.5%,46.2%,30.8%,25.0%,15.4%,46.2%,23.1%,69.2%,7.7%,42.9%
Victor Robles RHB,,+696,8,24,3.40,0,1,0.273,0.333,0.273,-,0.277,8.3%,14.3%,12.5%,8.1%,81.1,242.0,2,2,5.3%,-,5.3%,26.3%,15.8%,68.2,2.9%,20.6%,5.9%,85.0%,31.6%,21.1%,0.0%,10.5%,57.9%,36.8%,42.1%,21.1%,41.7%
Mitch Garver RHB,—,N/A,8,19,3.40,0,0,0.188,0.316,0.188,-,0.243,15.8%,32.3%,26.3%,12.7%,90.7,221.6,2,0,-,-,36.4%,36.4%,72.7%,71.4,6.7%,23.3%,10.0%,96.8%,81.8%,18.2%,0.0%,63.6%,18.2%,45.5%,45.5%,9.1%,38.1%
Josh Naylor LHB,,+700,23,18,4.40,0,0,0.333,0.333,0.333,-,0.297,-,2.8%,-,1.8%,86.7,276.7,4,2,-,-,11.1%,16.7%,44.4%,70.7,9.1%,33.3%,6.1%,94.3%,72.2%,38.9%,0.0%,33.3%,27.8%,16.7%,27.8%,55.6%,57.9%
Luke Raley LHB,,+540,28,18,3.20,0,2,0.176,0.222,0.235,0.059,0.206,5.6%,29.3%,33.3%,17.4%,94.8,276.1,5,2,18.2%,-,18.2%,63.6%,45.5%,74.9,48.7%,23.1%,10.3%,95.1%,72.8%,45.5%,0.0%,27.3%,18.2%,18.2%,27.3%,54.5%,10.0%
JP Crawford LHB,,+1060,30,16,4.80,0,0,0.188,0.188,0.188,-,0.167,-,23.1%,25.0%,11.1%,87.3,229.7,2,1,-,-,-,50.0%,25.0%,69.5,9.1%,31.8%,13.6%,88.0%,41.7%,25.0%,0.0%,16.7%,41.7%,8.3%,58.3%,33.3%,42.9%
Julio Rodriguez RHB,,+600,18,15,4.60,0,1,0.286,0.333,0.286,-,0.285,-,12.5%,13.3%,6.4%,93.8,269.1,3,1,-,-,8.3%,66.7%,50.0%,75.1,50.0%,40.9%,22.7%,91.7%,58.4%,16.7%,0.0%,41.7%,41.7%,33.3%,25.0%,41.7%,43.8%
Cal Raleigh SHB,,+370,28,15,4.40,0,0,0.143,0.200,0.143,-,0.162,6.7%,26.9%,33.3%,11.7%,91.7,258.5,3,1,11.1%,-,22.2%,44.4%,33.3%,74.3,50.0%,20.8%,16.7%,92.3%,66.6%,44.4%,0.0%,22.2%,22.2%,44.4%,33.3%,22.2%,55.6%
Weston Wilson RHB,—,N/A,5,11,1.80,0,0,0.222,0.364,0.222,-,0.280,18.2%,25.0%,9.1%,8.9%,89.0,240.4,1,0,-,-,12.5%,37.5%,25.0%,72.5,21.4%,42.9%,14.3%,93.3%,50.0%,37.5%,0.0%,12.5%,50.0%,12.5%,50.0%,37.5%,28.6%
Colt Emerson LHB,,+990,15,8,4.00,0,0,0.200,0.500,0.200,-,0.355,37.5%,36.8%,37.5%,20.0%,92.6,144.3,0,0,-,-,-,50.0%,-,70.4,17.6%,5.9%,5.9%,89.5%,-,-,-,-,50.0%,-,50.0%,50.0%,14.3%
Buddy Kennedy RHB,—,N/A,-,1,1.40,0,0,-,-,-,-,-,-,0.0%,100.0%,-,-,-,0,0,-,-,-,-,-,72.0,-,-,-,100.0%,-,-,-,-,-,-,-,-,0.0%
