Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Trent Grisham","NYY","Griffin Jax","TB","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","1"
"Luis Arraez","SF","Kevin Gausman","TOR","12","0.750","0.75","0.33","1.08","6","2","1","0","3","0","13","0.0","0.750","0"
"J.T. Realmuto","PHI","Noah Cameron","KC","3","0.667","0.50","1.00","1.67","1","0","0","1","1","1","5","0.0","0.667","0"
"Andy Pages","LAD","Kyle Freeland","COL","10","0.600","0.50","0.80","1.40","2","2","0","2","4","5","14","0.0","0.636","1"
"Shohei Ohtani","LAD","Kyle Freeland","COL","13","0.538","0.50","0.54","1.08","4","1","0","2","3","5","14","7.7","0.600","1"
"JJ Wetherholt","STL","Shane Drohan","MIL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Edouard Julien","COL","Eric Lauer","LAD","2","0.500","1.00","0.50","1.00","0","1","0","0","1","1","2","50.0","0.500","0"
"Joey Bart","ATL","Freddy Peralta","NYM","2","0.500","0.00","1.50","2.00","0","0","0","1","1","3","4","0.0","0.667","1"
"Cedric Mullins","TB","Cam Schlittler","NYY","2","0.500","0.50","1.00","1.50","0","0","1","0","1","0","3","0.0","0.500","0"
"Isaac Paredes","HOU","Miles Mikolas","WSH","4","0.500","0.33","0.75","1.25","1","0","0","1","1","1","5","0.0","0.600","1"
"Bo Bichette","NYM","Reynaldo Lopez","ATL","4","0.500","0.67","0.25","0.75","1","1","0","0","1","0","3","25.0","0.500","0"
"Lane Thomas","KC","Cristopher Sanchez","PHI","12","0.500","0.50","0.17","0.67","4","2","0","0","2","0","8","0.0","0.571","2"
"Jake Cronenworth","SD","Brandon Pfaadt","ARI","22","0.409","0.45","0.05","0.45","8","1","0","0","1","3","10","13.6","0.400","1"
"Miguel Rojas","LAD","Kyle Freeland","COL","23","0.391","0.47","0.22","0.61","6","2","0","1","3","4","14","21.7","0.417","1"
"Austin Riley","ATL","Freddy Peralta","NYM","18","0.389","0.36","0.39","0.78","4","1","0","2","3","5","14","11.1","0.421","1"
"Manny Machado","SD","Brandon Pfaadt","ARI","19","0.368","0.50","0.26","0.63","4","2","0","1","3","5","12","31.6","0.429","2"
"Amed Rosario","NYY","Griffin Jax","TB","11","0.364","0.50","0.27","0.64","2","1","1","0","2","3","7","27.3","0.364","0"
"Heliot Ramos","SF","Kevin Gausman","TOR","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","33.3","0.333","0"
"Garrett Mitchell","MIL","Dustin May","STL","3","0.333","1.00","0.33","0.67","0","1","0","0","1","0","2","66.7","0.333","0"
"Kyle Schwarber","PHI","Noah Cameron","KC","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","0.0","0.333","0"
"Tyrone Taylor","NYM","Reynaldo Lopez","ATL","3","0.333","1.00","0.33","0.67","0","1","0","0","1","0","2","66.7","0.333","0"
"Hunter Goodman","COL","Eric Lauer","LAD","6","0.333","0.33","0.50","0.83","1","0","0","1","1","1","5","33.3","0.333","0"
"Ildemaro Vargas","ARI","Walker Buehler","SD","6","0.333","0.40","0.17","0.50","1","1","0","0","1","0","3","16.7","0.333","0"
"Junior Caminero","TB","Cam Schlittler","NYY","9","0.333","0.33","0.33","0.67","2","0","0","1","1","2","6","22.2","0.333","0"
"Tommy Edman","LAD","Kyle Freeland","COL","15","0.333","0.30","0.53","0.87","1","2","0","2","4","2","13","20.0","0.333","0"
"Rafael Devers","SF","Kevin Gausman","TOR","33","0.333","0.37","0.30","0.64","3","7","0","1","8","6","21","15.2","0.371","2"
"Matt Olson","ATL","Freddy Peralta","NYM","13","0.308","0.27","0.31","0.62","2","1","0","1","2","2","8","15.4","0.412","3"
"Ketel Marte","ARI","Walker Buehler","SD","27","0.296","0.33","0.04","0.33","7","1","0","0","1","4","9","11.1","0.367","3"
"Starling Marte","KC","Cristopher Sanchez","PHI","17","0.294","0.36","0.24","0.53","3","1","0","1","2","4","9","29.4","0.400","3"
"Mookie Betts","LAD","Kyle Freeland","COL","45","0.289","0.33","0.31","0.60","5","5","0","3","8","9","27","26.7","0.319","2"
"Ty France","SD","Brandon Pfaadt","ARI","7","0.286","0.25","0.43","0.71","1","0","0","1","1","1","5","28.6","0.286","0"
"Eli White","ATL","Freddy Peralta","NYM","4","0.250","0.00","0.75","1.00","0","0","0","1","1","1","4","0.0","0.250","0"
"Max Muncy","LAD","Kyle Freeland","COL","28","0.250","0.27","0.14","0.39","5","1","0","1","2","4","11","17.9","0.300","1"
"Freddie Freeman","LAD","Kyle Freeland","COL","41","0.244","0.34","0.10","0.34","6","4","0","0","4","3","14","34.1","0.298","3"
