Matchup,SD @ TEX
Pitcher,Jacob deGrom
Pitcher Team,TEX
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,76.2,305,0.211,0.266,0.374,0.163,0.99,13,1.53,4.9%,33.2%,29.2%,23.3%,17.4%,10.45,60.8%,6.3%,9.5%,43.8%,30.3%,21.3%,20.9%
vsLHB,46.2,184,0.198,0.266,0.384,0.186,0.96,9,1.74,6.0%,31.6%,28.3%,22.8%,15.7%,10.03,57.4%,6.3%,9.9%,44.6%,30.6%,24.3%,20.7%
vsRHB,29.2,121,0.231,0.265,0.359,0.128,1.04,4,1.21,3.3%,35.3%,30.6%,24.0%,20.0%,11.22,65.9%,6.3%,8.8%,42.5%,30.0%,16.7%,21.2%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
3 Jackson Merrill LHB,,+475,31,17,4.40,1,2,0.294,0.294,0.647,0.353,0.398,-,21.4%,11.8%,13.6%,94.6,339.2,7,5,20.0%,6.7%,13.3%,60.0%,40.0%,73.2,30.8%,30.8%,20.5%,95.1%,26.7%,25.0%,33.3%,40.0%,26.7%,40.0%,33.3%,52.6%
5 Gavin Sheets LHB,,+490,21,16,4.00,1,1,0.125,0.125,0.312,0.188,0.187,-,8.6%,12.5%,4.3%,81.4,201.4,1,1,-,-,14.3%,28.6%,14.3%,74.0,51.7%,13.8%,3.4%,85.3%,21.4%,33.3%,7.1%,57.1%,21.4%,50.0%,28.6%,21.1%
9 Rodolfo Durán RHB,,+1060,27,13,3.00,1,1,0.200,0.385,0.600,0.400,0.409,23.1%,17.6%,15.4%,6.4%,92.0,260.5,1,1,12.5%,-,25.0%,50.0%,37.5%,71.7,28.6%,21.4%,21.4%,87.5%,12.5%,100.0%,25.0%,37.5%,62.5%,25.0%,12.5%,18.2%
1 Fernando Tatis Jr. RHB,,+470,19,13,4.60,1,2,0.364,0.462,0.818,0.455,0.525,15.4%,15.0%,-,7.3%,98.6,292.2,4,4,27.3%,9.1%,9.1%,81.8%,36.4%,76.8,80.0%,45.0%,25.0%,100.0%,36.4%,0.0%,36.4%,18.2%,18.2%,36.4%,45.5%,46.2%
4 Manny Machado RHB,,+494,19,12,4.40,0,0,0.091,0.083,0.091,-,0.074,-,33.3%,16.7%,17.8%,82.8,288.6,3,0,-,-,22.2%,-,33.3%,73.8,30.0%,5.0%,-,87.0%,33.3%,0.0%,11.1%,44.4%,55.6%,22.2%,22.2%,33.3%
8 Will Wagner LHB,,+1300,1,11,2.60,0,0,0.250,0.455,0.250,-,0.339,27.3%,13.6%,9.1%,4.9%,86.4,265.1,0,0,-,-,-,16.7%,33.3%,68.9,5.0%,20.0%,5.0%,90.9%,-,-,16.7%,83.3%,-,50.0%,50.0%,38.5%
6 Xander Bogaerts RHB,,+820,15,9,3.80,0,1,0.125,0.222,0.125,-,0.171,11.1%,18.8%,33.3%,8.1%,94.4,340.6,4,1,-,-,20.0%,40.0%,20.0%,71.5,20.0%,26.7%,-,100.0%,60.0%,0.0%,20.0%,20.0%,20.0%,60.0%,20.0%,20.0%
2 Samad Taylor RHB,,+1080,14,7,4.20,0,0,0.400,0.571,0.600,0.200,0.494,28.6%,22.2%,28.6%,4.2%,71.2,211.7,0,0,-,-,-,33.3%,66.7%,66.6,-,33.3%,-,66.7%,-,-,66.7%,-,-,100.0%,-,13.3%
7 Ty France RHB,,+725,29,6,3.20,0,0,-,-,-,-,-,-,62.5%,83.3%,25.0%,79.8,-,0,0,-,-,-,-,-,69.9,14.3%,-,-,87.5%,-,-,-,100.0%,100.0%,-,-,15.4%
