Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"12,053",1.14,1.09,1.12,1.10,1.14,1.49,0.87,1.02,1.05,1.04,1.06,88.4,173.9
2,Sutter Health Park,24',Open,"7,061",1.08,1.09,1.06,1.03,1.13,0.79,0.96,1.10,0.97,0.98,1.01,88.1,173.9
3,Great American Ball Park,535',Open,"10,933",1.03,1.12,1.01,0.98,1.03,0.83,1.00,1.05,1.00,0.97,1.00,88.1,174.9
4,Oriole Park at Camden Yards,33',Open,"11,443",1.02,1.03,1.02,1.02,1.01,1.07,0.97,0.97,1.04,1.03,1.01,89.1,170.2
5,Chase Field,1086',Retractable,"11,696",1.02,0.92,1.02,1.01,1.09,1.47,0.93,0.99,1.03,1.04,1.02,88.8,166.2
6,Nationals Park,35',Open,"11,694",1.02,1.01,1.02,1.04,0.97,0.97,0.94,1.01,1.05,1.03,1.00,88.4,162.6
7,Citizens Bank Park,20',Open,"11,075",1.02,1.07,1.03,1.03,0.98,0.98,1.05,0.95,0.92,0.99,1.00,88.5,164.1
8,Target Field,828',Open,"11,380",1.02,0.97,1.03,1.03,1.07,0.92,0.99,0.98,1.03,1.01,1.01,88.5,174.2
9,Daikin Park,45',Retractable,"10,906",1.02,1.12,1.01,0.99,0.99,0.92,1.08,1.02,0.97,1.01,0.99,88.3,167.5
10,Rogers Centre,270',Retractable,"11,423",1.01,1.07,1.01,0.99,1.03,0.81,1.02,0.98,1.06,1.02,1.00,88.3,167
11,Angel Stadium,151',Open,"10,853",1.01,1.03,1.02,1.02,0.98,0.97,1.01,1.03,1.00,1.02,1.00,88.5,168.6
12,Kauffman Stadium,856',Open,"11,423",1.01,0.89,1.01,0.99,1.10,1.29,0.94,1.01,1.02,1.02,1.02,88.7,169.4
13,Rate Field,595',Open,"11,072",1.00,0.99,1.00,1.01,0.97,0.90,0.97,1.07,1.01,1.01,0.99,88.2,169.3
14,Truist Park,1001',Open,"11,030",1.00,0.98,1.02,1.05,0.97,1.01,1.04,0.98,0.98,1.00,1.01,88.7,166.5
15,Progressive Field,653',Open,"10,886",1.00,0.98,1.01,1.01,1.04,0.84,1.04,1.03,1.01,1.02,0.99,88,166.6
16,PNC Park,780',Open,"11,305",1.00,0.88,1.01,1.00,1.14,0.89,0.97,0.98,0.99,1.02,1.00,88.7,166.1
17,loanDepot park,10',Retractable,"11,451",1.00,0.92,1.00,1.00,1.04,1.21,0.97,1.04,1.03,1.03,1.00,88.3,161.5
18,Comerica Park,600',Open,"11,025",0.99,0.99,1.00,1.01,0.93,1.14,0.99,0.97,0.96,1.00,1.00,88.5,168.6
19,Fenway Park,21',Open,"11,248",0.99,0.88,1.02,1.04,1.06,0.83,0.98,0.98,0.92,0.99,0.99,88.1,159.3
20,Tropicana Field,15',Dome,"5,415",0.99,1.07,0.98,0.95,1.00,1.11,1.02,0.94,1.05,0.96,1.01,87.4,169.2
21,Yankee Stadium,55',Open,"10,516",0.99,1.06,0.97,0.95,0.98,0.88,1.02,1.05,1.03,1.02,1.00,89.2,171.2
22,Dodger Stadium,515',Open,"10,816",0.99,1.11,0.97,0.95,0.96,0.73,1.04,1.01,0.98,1.00,1.00,88.9,172.6
23,American Family Field,597',Retractable,"10,760",0.98,1.05,0.99,0.99,0.93,0.95,1.09,1.01,0.96,0.97,1.00,87.5,164.1
24,Oracle Park,',Open,"11,138",0.98,0.80,1.01,1.03,1.03,1.22,0.96,0.98,0.94,1.00,0.99,88.3,159.6
25,Citi Field,10',Open,"11,015",0.97,0.97,0.98,0.99,0.97,0.89,1.04,1.06,0.96,0.98,0.99,88.5,164.9
26,Petco Park,23',Open,"11,021",0.97,1.04,0.97,0.98,0.92,0.82,1.06,1.02,1.05,0.99,0.99,88.1,165.4
27,Wrigley Field,595',Open,"11,002",0.96,1.02,0.97,1.00,0.83,1.07,1.01,0.97,1.00,1.02,0.99,88.5,168.8
28,Busch Stadium,460',Open,"11,773",0.96,0.81,0.99,1.02,1.03,0.88,0.93,0.94,0.98,1.02,1.00,88.7,160.8
29,Globe Life Field,545',Retractable,"10,885",0.96,0.95,0.97,0.98,0.95,0.95,1.01,0.96,1.01,1.02,1.00,88.5,171.5
30,T-Mobile Park,10',Retractable,"10,347",0.93,0.97,0.96,0.96,0.95,0.64,1.10,0.93,0.99,0.99,0.99,88.4,165.8
