Matchup,SF @ CHC
Pitcher,Ben Brown
Pitcher Team,CHC
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.2,201,0.180,0.214,0.219,0.038,0.93,1,0.17,7.5%,28.2%,26.4%,23.7%,13.2%,9.23,63.7%,7.9%,6.8%,42.4%,20.5%,3.7%,13.6%
vsLHB,25.2,109,0.206,0.243,0.237,0.031,1.21,0,-,10.1%,29.6%,28.4%,23.1%,13.8%,10.87,68.8%,7.3%,6.0%,41.8%,19.4%,-,13.4%
vsRHB,26.0,92,0.151,0.180,0.198,0.047,0.65,1,0.35,4.3%,26.3%,23.9%,24.4%,12.3%,7.62,57.6%,8.7%,7.7%,43.1%,21.5%,7.1%,13.8%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Willy Adames RHB,+517,16,4.20,3,3,0.429,0.500,1.143,0.714,0.666,12.5%,23.1%,18.8%,12.0%,95.3,18.2%,18.2%,45.5%,54.5%,54.5%,74.3,42.3%,30.8%,19.2%,100.0%,63.6%,42.9%,18.2%,9.1%,45.5%,45.5%,9.1%,21.4%
Eric Haase RHB,N/A,12,2.80,2,2,0.333,0.333,0.833,0.500,0.498,-,22.2%,16.7%,11.8%,90.2,30.0%,10.0%,20.0%,50.0%,30.0%,72.5,16.7%,20.8%,20.8%,88.9%,30.0%,66.7%,20.0%,40.0%,30.0%,60.0%,10.0%,16.7%
Casey Schmitt RHB,+510,15,5.20,1,1,0.067,0.067,0.267,0.200,0.140,-,16.7%,13.3%,9.1%,88.4,-,-,8.3%,25.0%,25.0%,71.9,30.8%,26.9%,3.8%,86.7%,41.7%,20.0%,25.0%,8.3%,8.3%,66.7%,25.0%,47.1%
Luis Arraez LHB,+1020,22,4.80,0,1,0.524,0.545,0.667,0.143,0.530,-,7.5%,-,4.2%,90.3,4.8%,4.8%,19.0%,38.1%,57.1%,63.5,-,48.6%,-,94.9%,19.0%,0.0%,47.6%,33.3%,38.1%,28.6%,33.3%,30.0%
Rafael Devers LHB,+465,20,4.80,0,0,0.250,0.250,0.350,0.100,0.260,-,31.2%,35.0%,14.5%,95.2,-,-,7.7%,46.2%,15.4%,72.7,28.6%,21.4%,17.9%,93.3%,15.4%,0.0%,30.8%,38.5%,30.8%,38.5%,30.8%,30.8%
Drew Gilbert LHB,+1020,16,2.40,0,0,0.200,0.250,0.267,0.067,0.231,6.2%,43.5%,31.2%,20.8%,89.1,-,-,20.0%,40.0%,40.0%,68.4,5.0%,25.0%,15.0%,90.9%,-,-,50.0%,30.0%,40.0%,20.0%,30.0%,14.3%
Daniel Susac RHB,+890,16,4.60,0,1,0.214,0.312,0.357,0.143,0.296,12.5%,16.7%,37.5%,8.2%,90.3,12.5%,-,12.5%,37.5%,25.0%,70.2,8.0%,20.0%,4.0%,86.2%,12.5%,0.0%,37.5%,50.0%,50.0%,25.0%,25.0%,37.5%
Matt Chapman RHB,+800,13,4.00,0,0,0.250,0.308,0.250,-,0.255,7.7%,12.9%,15.4%,7.3%,94.5,-,-,10.0%,50.0%,20.0%,75.2,48.3%,17.2%,13.8%,93.5%,30.0%,0.0%,20.0%,30.0%,20.0%,50.0%,30.0%,50.0%
Bryce Eldridge LHB,+820,11,3.80,0,2,0.300,0.364,0.400,0.100,0.336,9.1%,18.8%,18.2%,7.3%,89.7,37.5%,-,-,37.5%,37.5%,74.4,33.3%,33.3%,20.0%,93.8%,50.0%,0.0%,12.5%,25.0%,12.5%,62.5%,25.0%,28.6%
Jung Hoo Lee LHB,+1300,10,3.80,0,1,0.600,0.600,0.800,0.200,0.610,-,4.5%,-,2.4%,85.4,10.0%,-,10.0%,40.0%,70.0%,69.8,-,25.0%,10.0%,90.9%,40.0%,0.0%,30.0%,30.0%,20.0%,40.0%,40.0%,9.1%
Victor Bericoto RHB,N/A,3,2.20,0,0,-,-,-,-,-,-,0.0%,-,-,81.1,-,-,-,33.3%,-,77.2,66.7%,33.3%,33.3%,100.0%,-,-,-,100.0%,100.0%,-,-,100.0%
Jonah Cox RHB,N/A,1,1.80,0,0,1.000,1.000,1.000,-,0.890,-,0.0%,-,-,95.3,-,-,-,100.0%,100.0%,74.6,-,100.0%,-,100.0%,-,-,100.0%,-,-,-,100.0%,0.0%
