Matchup,CIN @ STL
Pitcher,Matthew Liberatore
Pitcher Team,STL
Opposing Team,CIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,62.0,268,0.289,0.347,0.450,0.161,1.50,10,1.45,8.6%,22.3%,21.3%,18.2%,10.6%,8.27,62.4%,7.7%,9.6%,44.7%,29.8%,16.1%,21.3%
vsLHB,14.0,68,0.344,0.436,0.672,0.328,1.79,6,3.86,4.4%,23.5%,25.0%,22.1%,11.5%,10.93,63.2%,7.8%,14.6%,50.0%,29.2%,35.7%,16.7%
vsRHB,46.2,200,0.270,0.316,0.371,0.101,1.46,4,0.77,10.0%,21.9%,20.0%,16.9%,10.3%,7.71,62.1%,7.7%,7.9%,42.9%,30.0%,9.5%,22.9%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Spencer Steer RHB,N/A,14,4.00,2,3,0.231,0.286,0.769,0.538,0.437,7.1%,31.2%,7.1%,16.4%,89.8,33.3%,8.3%,16.7%,41.7%,58.3%,70.6,6.5%,29.0%,12.9%,96.9%,50.0%,33.3%,8.3%,25.0%,33.3%,41.7%,25.0%,18.8%
Dane Myers RHB,N/A,18,2.40,1,1,0.235,0.222,0.471,0.235,0.286,-,12.9%,27.8%,6.1%,86.1,-,-,15.4%,23.1%,53.8%,73.0,30.8%,19.2%,3.8%,86.7%,23.1%,33.3%,38.5%,15.4%,15.4%,15.4%,61.5%,25.0%
Eugenio Suarez RHB,N/A,17,4.00,0,0,0.267,0.353,0.333,0.067,0.308,11.8%,31.0%,41.2%,12.2%,90.2,-,-,-,25.0%,37.5%,71.1,16.7%,20.8%,8.3%,85.7%,37.5%,0.0%,25.0%,25.0%,12.5%,37.5%,50.0%,21.4%
Sal Stewart RHB,N/A,17,4.00,0,0,0.214,0.353,0.214,-,0.272,17.6%,36.7%,35.3%,15.9%,83.7,-,-,-,25.0%,12.5%,72.8,17.9%,14.3%,-,96.6%,25.0%,0.0%,12.5%,50.0%,37.5%,37.5%,25.0%,25.0%
JJ Bleday LHB,N/A,16,4.20,0,0,0.467,0.438,0.533,0.067,0.413,-,22.6%,12.5%,11.9%,86.3,7.1%,-,14.3%,42.9%,57.1%,73.2,37.5%,29.2%,12.5%,82.8%,14.3%,0.0%,42.9%,28.6%,35.7%,28.6%,35.7%,37.5%
Matt McLain RHB,N/A,15,2.60,0,0,0.143,0.200,0.143,-,0.162,6.7%,20.0%,20.0%,10.5%,76.5,-,-,-,9.1%,27.3%,73.2,30.8%,19.2%,3.8%,92.9%,36.4%,0.0%,18.2%,18.2%,18.2%,36.4%,45.5%,38.5%
Blake Dunn RHB,N/A,13,4.20,0,0,0.250,0.308,0.333,0.083,0.285,7.7%,50.0%,30.8%,19.2%,78.9,-,-,-,-,37.5%,72.9,31.2%,25.0%,-,80.0%,-,-,25.0%,50.0%,25.0%,50.0%,25.0%,21.4%
Tyler Stephenson RHB,N/A,12,3.40,0,0,0.250,0.250,0.333,0.083,0.254,-,5.9%,25.0%,2.7%,86.1,-,-,33.3%,33.3%,55.6%,71.2,15.4%,19.2%,3.8%,86.7%,44.4%,0.0%,55.6%,-,33.3%,44.4%,22.2%,40.0%
Nathaniel Lowe LHB,N/A,11,3.20,0,0,-,0.091,-,-,0.059,9.1%,23.8%,18.2%,11.9%,86.2,-,-,-,25.0%,37.5%,73.4,36.8%,10.5%,-,95.0%,12.5%,0.0%,37.5%,25.0%,-,50.0%,25.0%,16.7%
Noelvi Marte RHB,N/A,10,2.80,0,0,-,-,-,-,-,-,47.4%,50.0%,26.5%,83.7,-,-,-,40.0%,-,70.7,22.2%,11.1%,5.6%,94.7%,40.0%,0.0%,-,60.0%,40.0%,40.0%,20.0%,42.9%
Edwin Arroyo SHB,N/A,3,2.67,0,0,-,-,-,-,-,-,37.5%,66.7%,23.1%,85.8,-,-,100.0%,-,100.0%,67.3,-,-,-,75.0%,-,-,100.0%,-,100.0%,-,-,33.3%
P.J. Higgins RHB,N/A,1,3.40,0,0,-,-,-,-,-,-,100.0%,100.0%,100.0%,-,-,-,-,-,-,68.9,-,-,-,100.0%,-,-,-,-,-,-,-,-
