Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Nick Kurtz,LHB,ATH,Sonny Gray,R,34.9,40.5,27.7,63.7,41.9
Tyrone Taylor,RHB,NYM,Eury Perez,R,53.5,45,20.5,56.9,41.5
Jeff McNeil,LHB,ATH,Sonny Gray,R,29.7,37.5,36.9,53.5,40.5
Drake Baldwin,LHB,ATL,Jake Irvin,R,37.9,27.9,41.8,49.2,38.4
Esmerlyn Valdez,RHB,PIT,Rhett Lowder,R,50.3,32.2,32.2,46.8,37.7
Junior Caminero,RHB,TB,Cole Winn,R,27,37.3,38.8,39.2,37.2
Ben Rice,LHB,NYY,Sean Burke,R,31.8,26,32.7,59.4,36.9
Jac Caglianone,LHB,KC,Bailey Ober,R,31.7,36,28.6,43.6,35.2
Lars Nootbaar,LHB,STL,Javier Assad,R,56.3,28.9,10.3,59.4,33.7
Randal Grichuk,RHB,CWS,Ryan Weathers,L,38.5,43.2,17,35.4,32.9
Max Muncy,LHB,LAD,Bryan Woo,R,26.4,28.4,28.7,44.8,32.4
Justin Foscue,RHB,TEX,Shane McClanahan,L,31.3,27.5,20.8,53.7,32.4
James Wood,LHB,WSH,Grant Holmes,R,26.5,34.4,17.1,48.3,31.9
Luke Raley,LHB,SEA,Roki Sasaki,R,33.7,28.4,27,40.4,31.5
Nathaniel Lowe,LHB,CIN,Yohan Ramirez,R,25.7,24,33,41.6,31.3
Lane Thomas,RHB,KC,Bailey Ober,R,53,25.6,21.8,41.8,31.2
Jake Burger,RHB,TEX,Shane McClanahan,L,26.3,17.4,30.4,53.3,31.2
Jonathan Aranda,LHB,TB,Cole Winn,R,26.8,34.5,18.8,42.4,31
CJ Abrams,LHB,WSH,Grant Holmes,R,33.6,17.1,22.3,59.4,30.9
Kody Clemens,LHB,MIN,Noah Cameron,L,19.1,30.4,19.6,46.6,30.1
Andy Pages,RHB,LAD,Bryan Woo,R,30.9,31.8,25.2,33.4,30.1
Pedro Pages,RHB,STL,Javier Assad,R,49.4,28.5,28.6,26.6,30.1
Amed Rosario,RHB,NYY,Sean Burke,R,29.6,22.7,25,45.5,29.8
Cal Raleigh,SHB,SEA,Roki Sasaki,R,33.1,18.4,18.4,57.7,29.7
Bryce Eldridge,LHB,SF,JP Sears,L,39,29.3,,60,29.2
Michael Conforto,LHB,CHC,Andre Pallante,R,44.4,23.4,22.8,39,29.2
Austin Riley,RHB,ATL,Jake Irvin,R,44.3,27.1,25.8,29.5,29
Seiya Suzuki,RHB,CHC,Andre Pallante,R,39.6,23.3,25.6,34.3,28.4
Dalton Rushing,LHB,LAD,Bryan Woo,R,15.7,36.6,14.2,39,28.4
Leo Jimenez,RHB,MIA,Nolan McLean,R,36.7,49.2,,29.8,28.3
Jared Young,LHB,NYM,Eury Perez,R,49.3,17.6,17.2,47.9,28.2
Carter Jensen,LHB,KC,Bailey Ober,R,31.7,27.2,19,37.2,27.7
Tyler Stephenson,RHB,CIN,Yohan Ramirez,R,35.5,23.9,18.8,37,26.8
Willson Contreras,RHB,BOS,Mason Barnett,R,30.4,20.4,22.3,38.6,26.5
Marcell Ozuna,RHB,PIT,Rhett Lowder,R,43.3,23.1,13.3,40.3,26.5
Miguel Amaya,RHB,CHC,Andre Pallante,R,33.8,18.4,16.9,46.6,26.5
Elias Diaz,RHB,TEX,Shane McClanahan,L,45.5,30.3,15.6,26.1,26.4
Spencer Jones,LHB,NYY,Sean Burke,R,28,10,10,68.5,26.4
Paul Goldschmidt,RHB,NYY,Sean Burke,R,25.9,23,27.3,29.7,26.3
Jordan Walker,RHB,STL,Javier Assad,R,54.6,22.7,17.4,30.6,26.3
JJ Wetherholt,LHB,STL,Javier Assad,R,22.2,20.2,10.3,53.7,25.8
Carson Benge,LHB,NYM,Eury Perez,R,25.1,27.5,13.6,37.9,25.7
Ryan Jeffers,RHB,MIN,Noah Cameron,L,26.6,29.3,9.5,38.8,25.5
JP Crawford,LHB,SEA,Roki Sasaki,R,33.7,20.2,22.1,33.4,25.4
Ronald Acuna Jr.,RHB,ATL,Jake Irvin,R,31,17.2,9.2,53.6,25.3
Victor Mesa Jr.,LHB,TB,Cole Winn,R,29,23.7,9.4,44.8,25.2
Francisco Lindor,SHB,NYM,Eury Perez,R,33.3,21.4,8.7,46.4,25
Pete Crow-Armstrong,LHB,CHC,Andre Pallante,R,32.4,19.1,19.9,36.6,25
Blaze Jordan,RHB,STL,Javier Assad,R,36.5,18.3,9.6,47.8,24.9
Nick Loftin,RHB,KC,Bailey Ober,R,55.8,14.2,15.9,38.2,24.9
Royce Lewis,RHB,MIN,Noah Cameron,L,33.7,18,9.6,49.4,24.9
Daylen Lile,LHB,WSH,Grant Holmes,R,31.6,32.8,8.8,29.9,24.8
Joe Mack,LHB,MIA,Nolan McLean,R,48.3,10,20,41.2,24.6
Freddie Freeman,LHB,LAD,Bryan Woo,R,14.2,19.2,16,46.7,24.6
Yandy Diaz,RHB,TB,Cole Winn,R,14.6,21.3,24.7,33,24.6
Cedric Mullins,LHB,TB,Cole Winn,R,22.3,13.2,21.1,45.7,24.6
Lawrence Butler,LHB,ATH,Sonny Gray,R,34.9,15,19.8,39.8,24.6
Michael Massey,LHB,KC,Bailey Ober,R,25.1,23.3,12.7,40.2,24.5
Ivan Herrera,RHB,STL,Javier Assad,R,33.7,12.4,16.3,45.6,24
Austin Wells,LHB,NYY,Sean Burke,R,58,15.5,13.3,35.3,24
Elly De La Cruz,SHB,CIN,Yohan Ramirez,R,23.3,24.4,23.7,23.3,23.8
Ozzie Albies,SHB,ATL,Jake Irvin,R,43.2,15.2,21.9,29.4,23.6
Henry Davis,RHB,PIT,Rhett Lowder,R,45,19.9,21.8,21.4,23.4
Jarren Duran,LHB,BOS,Mason Barnett,R,27.5,8.9,18.9,47,23.3
Teoscar Hernandez,RHB,LAD,Bryan Woo,R,57.6,21.2,13.5,23.4,23.1
Jared Triolo,RHB,PIT,Rhett Lowder,R,58.6,13.3,12.8,34.7,23
Mike Yastrzemski,LHB,ATL,Jake Irvin,R,21.2,18.7,28.3,22.8,22.9
Colson Montgomery,LHB,CWS,Ryan Weathers,L,35.3,15,28.5,21.8,22.8
Trevor Larnach,LHB,MIN,Noah Cameron,L,50.3,19.6,19.6,19.6,22.7
Kyle Stowers,LHB,MIA,Nolan McLean,R,17.7,14.8,10,51.1,22.7
Masyn Winn,RHB,STL,Javier Assad,R,30.4,16.5,11.4,41.3,22.6
Liam Hicks,LHB,MIA,Nolan McLean,R,46.7,21.3,10,29.4,22.5
Endy Rodriguez,SHB,PIT,Rhett Lowder,R,34.3,25.7,18.4,18.4,22.5
Salvador Perez,RHB,KC,Bailey Ober,R,39.1,8.7,21.1,35.9,22.3
Nick Gonzales,RHB,PIT,Rhett Lowder,R,32.3,13.3,13.3,41.8,22.3
Jazz Chisholm Jr.,LHB,NYY,Sean Burke,R,61.2,9.9,5.9,43.2,22.2
Isaac Collins,SHB,KC,Bailey Ober,R,49.5,14,17.9,28.1,22.2
Rafael Devers,LHB,SF,JP Sears,L,5.7,19.6,18.6,36.4,22.1
Matt Olson,LHB,ATL,Jake Irvin,R,14.7,22.1,23,23.8,22.1
Kyle Tucker,LHB,LAD,Bryan Woo,R,32.5,14.7,11.2,39.8,21.7
Brandon Nimmo,LHB,TEX,Shane McClanahan,L,24.2,17.1,19.7,29,21.6
Miguel Rojas,RHB,LAD,Bryan Woo,R,51.5,13.5,,47.1,21.6
Alec Burleson,LHB,STL,Javier Assad,R,16.1,27,11.9,28,21.6
Jose Caballero,RHB,NYY,Sean Burke,R,14.5,9.7,24.6,37.5,21.6
Wilyer Abreu,LHB,BOS,Mason Barnett,R,33.5,13.9,11.7,39.3,21.5
Michael Busch,LHB,CHC,Andre Pallante,R,32.8,16,9,39.3,21.4
A.J. Ewing,LHB,NYM,Eury Perez,R,24.3,17.1,7.9,42,21.3
Ryan Vilade,RHB,TB,Cole Winn,R,41.7,12.2,12.2,36.9,21.3
Ryan McMahon,LHB,NYY,Sean Burke,R,25.4,18.5,8.9,38.2,21.2
Brandon Lowe,LHB,PIT,Rhett Lowder,R,35,22.2,16.5,19.9,21.2
Brett Baty,LHB,NYM,Eury Perez,R,26.5,9.9,7.6,51.3,21.2
Brady House,RHB,WSH,Grant Holmes,R,55.8,13,14.4,26.9,21.2
Henry Bolte,RHB,ATH,Sonny Gray,R,46.9,15.7,,43.6,21.1
Tyler Soderstrom,LHB,ATH,Sonny Gray,R,32.2,15.1,16.6,30,21
Francisco Alvarez,RHB,NYM,Eury Perez,R,38.7,17.1,19.5,20.5,20.8
