Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-08-28 00:00:00,Sutter Health Park,BAL @ ATH,9:40,+28%,+18%,+4%,+23%,+0.64,+0.64,+0.41,+1.98,+29%,+14%,+1%,+19%,+0.66,+0.48,+0.14,+1.67,-1%,+5%,+3%,+3%,-0.03,+0.16,+0.27,+0.30
2026-08-28 00:00:00,Nationals Park,MIA @ WAS,6:45,+10%,+1%,+5%,+6%,+0.22,+0.04,+0.52,+0.55,+4%,+4%,+3%,+3%,+0.08,+0.15,+0.28,+0.29,+6%,-3%,+2%,+3%,+0.14,-0.11,+0.24,+0.26
2026-08-28 00:00:00,American Family Fld,TEX @ MIL,7:40,+5%,-5%,-6%,-1%,+0.10,-0.18,-0.66,-0.08,-3%,-10%,-8%,-8%,-0.06,-0.35,-0.90,-0.67,+7%,+5%,+2%,+7%,+0.17,+0.17,+0.25,+0.59
2026-08-28 00:00:00,Yankee Stadium,BOS @ NYY,7:15,+5%,-6%,-6%,-2%,+0.12,-0.22,-0.64,-0.19,+5%,-12%,-5%,-4%,+0.11,-0.40,-0.54,-0.34,+1%,+5%,-1%,+2%,+0.02,+0.18,-0.10,+0.15
2026-08-28 00:00:00,Angel Stadium,PHI @ LAA,9:38,0%,-10%,+3%,-2%,0.00,-0.35,+0.34,-0.15,-9%,-4%,+1%,-4%,-0.21,-0.15,+0.15,-0.34,+9%,-6%,+2%,+2%,+0.20,-0.20,+0.19,+0.20
2026-08-28 00:00:00,Tropicana Field,SD  @ TB,7:10,-3%,-6%,-8%,-6%,-0.07,-0.23,-0.81,-0.50,-4%,-6%,-8%,-6%,-0.09,-0.22,-0.81,-0.52,+1%,0%,0%,+0%,+0.02,0.00,0.00,+0.02
2026-08-28 00:00:00,Truist Park,COL @ ATL,7:15,-3%,-12%,0%,-7%,-0.07,-0.41,-0.03,-0.65,-2%,-6%,+1%,-3%,-0.05,-0.20,+0.15,-0.25,-1%,-6%,-2%,-4%,-0.03,-0.21,-0.17,-0.39
2026-08-28 00:00:00,Citi Field,HOU @ NYM,7:10,-6%,-22%,-1%,-9%,-0.12,-0.77,-0.09,-0.76,-2%,-19%,-5%,-8%,-0.03,-0.67,-0.48,-0.72,-4%,-3%,+4%,-1%,-0.09,-0.11,+0.39,-0.04
2026-08-28 00:00:00,Rogers Centre,SEA @ TOR,7:15,-7%,-6%,-3%,-9%,-0.15,-0.20,-0.28,-0.81,+6%,-2%,-2%,-2%,+0.13,-0.06,-0.24,-0.14,-13%,-4%,0%,-8%,-0.28,-0.14,-0.04,-0.66
2026-08-28 00:00:00,Target Field,CHW @ MIN,8:10,-9%,-2%,0%,-4%,-0.21,-0.06,-0.01,-0.33,-7%,+2%,+2%,+1%,-0.15,+0.08,+0.24,+0.06,-3%,-4%,-2%,-4%,-0.06,-0.13,-0.25,-0.39
2026-08-28 00:00:00,Wrigley Field,CIN @ CHC,2:20,-9%,-6%,+2%,-4%,-0.20,-0.22,+0.17,-0.34,-3%,-10%,-3%,-7%,-0.06,-0.36,-0.33,-0.60,-6%,+4%,+5%,+3%,-0.14,+0.14,+0.50,+0.26
2026-08-28 00:00:00,Progressive Field,KC  @ CLE,7:10,-16%,+2%,-4%,-7%,-0.36,+0.08,-0.47,-0.60,-3%,+1%,-2%,0%,-0.07,+0.05,-0.24,-0.04,-13%,+1%,-2%,-6%,-0.29,+0.03,-0.24,-0.57
2026-08-28 00:00:00,Busch Stadium,PIT @ STL,8:15,-20%,-9%,+4%,-12%,-0.46,-0.30,+0.39,-1.06,-9%,-5%,+4%,-6%,-0.21,-0.19,+0.42,-0.55,-11%,-3%,0%,-6%,-0.25,-0.11,-0.03,-0.50
2026-08-28 00:00:00,Oracle Park,ARI @ SF,10:15,-22%,+4%,+6%,-5%,-0.49,+0.14,+0.68,-0.44,-16%,+11%,+6%,0%,-0.37,+0.40,+0.63,-0.03,-5%,-7%,+0%,-5%,-0.12,-0.25,+0.05,-0.41
2026-08-28 00:00:00,Comerica Park,LAD @ DET,6:40,-23%,0%,+3%,-10%,-0.52,-0.01,+0.28,-0.87,-11%,+1%,+6%,-2%,-0.26,+0.05,+0.63,-0.15,-12%,-2%,-3%,-8%,-0.26,-0.06,-0.35,-0.72
