Matchup,BOS @ NYY
Pitcher,Ryan Weathers
Pitcher Team,NYY
Opposing Team,BOS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,64.0,259,0.225,0.291,0.392,0.167,1.14,11,1.55,7.3%,27.9%,29.0%,24.4%,12.4%,10.55,61.4%,5.3%,10.9%,40.6%,26.7%,20.5%,15.8%
vsLHB,11.2,54,0.294,0.324,0.412,0.118,1.54,2,1.54,5.6%,32.1%,33.3%,39.1%,14.3%,13.89,58.5%,6.3%,6.1%,36.4%,24.2%,25.0%,21.2%
vsRHB,51.1,205,0.206,0.282,0.386,0.180,1.07,9,1.58,7.8%,26.9%,27.8%,21.8%,12.0%,9.99,62.1%,5.0%,12.1%,41.7%,27.3%,19.4%,14.4%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jarren Duran LHB,+527,23,4.80,1,1,0.263,0.391,0.421,0.158,0.359,17.4%,46.2%,34.8%,18.2%,85.8,-,-,27.3%,45.5%,36.4%,76.2,55.6%,16.7%,11.1%,92.3%,9.1%,0.0%,45.5%,27.3%,45.5%,45.5%,9.1%,25.0%
Wilyer Abreu LHB,+555,21,4.60,0,0,0.389,0.476,0.611,0.222,0.462,14.3%,30.8%,14.3%,13.8%,86.0,13.3%,-,26.7%,33.3%,53.3%,72.4,18.2%,33.3%,15.2%,84.6%,46.7%,0.0%,26.7%,20.0%,40.0%,33.3%,26.7%,21.7%
Caleb Durbin RHB,+1160,19,4.20,0,1,0.294,0.316,0.412,0.118,0.312,-,12.9%,10.5%,7.3%,84.3,6.2%,6.2%,18.8%,37.5%,43.8%,69.1,7.4%,44.4%,14.8%,90.0%,31.2%,0.0%,31.2%,18.8%,37.5%,50.0%,12.5%,52.6%
Willson Contreras RHB,+388,18,4.40,0,1,0.353,0.389,0.529,0.176,0.398,-,28.2%,11.1%,15.5%,90.4,6.7%,-,40.0%,33.3%,33.3%,76.9,67.6%,24.3%,13.5%,97.4%,20.0%,0.0%,20.0%,26.7%,60.0%,20.0%,20.0%,28.6%
Connor Wong RHB,+930,18,4.00,0,0,0.176,0.222,0.176,-,0.184,5.6%,21.9%,16.7%,12.3%,84.4,-,-,14.3%,28.6%,28.6%,71.8,17.2%,27.6%,6.9%,93.5%,28.6%,0.0%,28.6%,28.6%,35.7%,42.9%,21.4%,35.3%
Ceddanne Rafaela RHB,+660,17,4.60,0,2,0.133,0.235,0.200,0.067,0.203,11.8%,23.1%,29.4%,14.8%,93.0,-,-,-,50.0%,30.0%,69.1,-,18.6%,7.0%,86.0%,30.0%,0.0%,20.0%,50.0%,20.0%,40.0%,40.0%,50.0%
Andruw Monasterio RHB,+760,16,2.40,0,0,0.312,0.312,0.562,0.250,0.373,-,17.1%,25.0%,9.1%,87.2,-,-,16.7%,33.3%,33.3%,69.6,-,24.3%,10.8%,92.5%,25.0%,0.0%,33.3%,25.0%,25.0%,50.0%,25.0%,31.2%
Isiah Kiner-Falefa RHB,+1400,14,4.20,0,0,0.182,0.357,0.182,-,0.266,21.4%,21.7%,14.3%,10.4%,79.2,-,-,11.1%,22.2%,33.3%,68.2,5.0%,25.0%,-,87.0%,-,-,33.3%,44.4%,33.3%,44.4%,22.2%,25.0%
Masataka Yoshida LHB,N/A,12,4.00,0,0,0.182,0.250,0.182,-,0.202,8.3%,15.0%,16.7%,7.0%,87.7,-,-,11.1%,33.3%,44.4%,69.5,-,35.3%,-,85.0%,11.1%,0.0%,44.4%,44.4%,33.3%,44.4%,22.2%,23.1%
Carlos Narvaez RHB,+690,11,3.80,0,0,0.300,0.364,0.400,0.100,0.336,9.1%,16.0%,9.1%,9.1%,89.6,-,-,-,22.2%,33.3%,70.5,9.5%,28.6%,4.8%,91.3%,22.2%,0.0%,33.3%,44.4%,22.2%,33.3%,44.4%,30.0%
Marcelo Mayer LHB,N/A,9,3.60,0,0,0.375,0.333,0.375,-,0.297,-,25.0%,-,13.6%,80.6,-,-,11.1%,22.2%,22.2%,73.3,40.0%,40.0%,-,90.9%,44.4%,0.0%,11.1%,33.3%,11.1%,44.4%,44.4%,50.0%
Mickey Gasper SHB,N/A,5,4.40,0,0,0.200,0.200,0.200,-,0.178,-,30.0%,40.0%,13.0%,70.6,-,-,-,-,-,72.1,-,11.1%,-,90.0%,33.3%,0.0%,-,33.3%,33.3%,33.3%,33.3%,37.5%
