HR Split,Overall
Dates,="9/11/2026"
Games,14

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,6:40 PM,Mason Adams,@,2.26,0.28,3.22,2.77,13.9%,33.3%,61.1%,33.3%,6.6%,118
2,7:10 PM,Miguel Ullola,@,1.84,1.73,1.12,2.70,18.8%,11.1%,37.5%,56.3%,7.5%,52
3,8:15 PM,Matthew Liberatore,vs,0.56,-0.06,0.72,1.62,10.6%,19.2%,40.7%,31.1%,8.1%,1364
4,8:10 PM,Taj Bradley,vs,0.49,0.97,-0.32,1.58,9.4%,19.1%,43.3%,31.0%,7.9%,1399
5,10:15 PM,Anthony Molina,vs,0.47,0.71,0.30,1.74,8.0%,19.6%,36.6%,31.5%,9.2%,300
6,6:45 PM,Yusei Kikuchi,@,0.46,-0.53,0.56,1.35,10.1%,21.2%,44.2%,23.8%,9.9%,1093
7,9:40 PM,Jeffrey Springs,vs,0.43,1.28,-0.09,2.07,8.2%,17.8%,33.1%,30.4%,6.0%,1398
8,7:45 PM,Andrew Abbott,@,0.18,0.70,-0.16,1.52,9.5%,14.8%,37.3%,29.2%,6.9%,1455
9,8:15 PM,Anthony Kay,@,0.17,-1.20,0.49,1.54,7.1%,22.2%,39.1%,23.4%,6.7%,747
10,10:15 PM,Robbie Ray,@,0.11,-1.02,0.54,1.35,9.5%,15.0%,38.3%,33.9%,6.2%,1494
11,7:10 PM,Ryan Gusto,vs,0.02,0.11,-0.03,1.20,9.0%,14.2%,43.1%,21.2%,9.1%,881
12,7:45 PM,Dustin May,vs,-0.04,-0.26,0.16,1.22,8.3%,16.1%,41.6%,25.9%,6.8%,1225
13,7:15 PM,Aaron Nola,@,-0.05,0.06,-0.12,1.42,7.4%,16.6%,38.4%,26.2%,5.9%,1194
14,7:07 PM,Max Scherzer,vs,-0.05,-0.10,0.31,1.36,8.6%,13.4%,32.4%,35.8%,6.6%,799
15,9:40 PM,George Kirby,@,-0.23,0.12,-0.49,1.26,6.0%,17.4%,38.5%,23.1%,6.8%,1394
16,7:05 PM,Carlos Rodon,vs,-0.31,0.20,-0.32,1.01,7.8%,9.7%,38.6%,33.1%,7.5%,1190
17,7:10 PM,Seth Lugo,@,-0.37,0.08,-0.55,1.03,5.6%,12.5%,43.3%,26.1%,7.6%,1408
18,6:45 PM,Cade Cavalli,vs,-0.44,-0.32,-0.26,0.85,5.9%,15.8%,41.2%,24.5%,7.5%,991
19,7:07 PM,Chris Bassitt,@,-0.45,0.03,-0.77,0.98,6.2%,13.7%,36.4%,24.5%,8.3%,1280
20,6:40 PM,Framber Valdez,vs,-0.47,-0.44,-0.37,0.85,5.6%,18.4%,42.6%,15.9%,7.7%,1620
21,7:10 PM,Sonny Gray,vs,-0.53,-0.43,-0.34,0.95,7.1%,11.4%,37.9%,23.2%,6.6%,1488
22,7:10 PM,Drew Rasmussen,vs,-0.65,-0.26,-0.71,0.77,4.4%,12.1%,38.0%,25.8%,9.0%,1296
23,8:10 PM,Parker Messick,@,-0.74,0.03,-0.88,0.89,4.6%,17.1%,30.6%,21.7%,6.6%,949
24,9:40 PM,MacKenzie Gore,@,-0.74,-0.48,-0.57,0.76,6.6%,7.5%,39.7%,26.0%,6.4%,1477
25,7:15 PM,Chris Sale,vs,-0.95,-1.00,-0.60,0.46,6.5%,8.1%,38.9%,24.0%,6.8%,1241
26,7:05 PM,Nolan McLean,@,-0.96,-0.56,-1.01,0.59,5.4%,10.8%,36.2%,23.0%,6.0%,982
27,9:40 PM,Merrill Kelly,vs,-,-,-,-,-,-,-,-,-,0
