Matchup,TB @ MIA
Pitcher,Shane McClanahan
Pitcher Team,TB
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,55.0,221,0.184,0.235,0.259,0.075,1.02,2,0.33,8.6%,28.0%,24.0%,21.8%,13.5%,8.67,57.7%,8.5%,9.5%,39.9%,29.1%,4.7%,18.2%
vsLHB,10.2,40,0.114,0.184,0.143,0.029,0.75,0,-,10.0%,33.3%,25.0%,27.0%,15.2%,8.44,52.5%,7.9%,4.0%,32.0%,20.0%,-,20.0%
vsRHB,44.0,181,0.199,0.246,0.283,0.084,1.09,2,0.41,8.3%,27.0%,23.8%,20.9%,13.2%,8.80,58.8%,8.6%,10.6%,41.5%,30.9%,5.3%,17.9%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Heriberto Hernandez RHB,N/A,16,3.00,2,2,0.333,0.312,0.733,0.400,0.429,-,43.5%,31.2%,19.6%,90.9,18.2%,18.2%,45.5%,45.5%,63.6%,76.7,70.0%,35.0%,20.0%,87.0%,27.3%,66.7%,45.5%,27.3%,72.7%,18.2%,9.1%,20.0%
Esteury Ruiz RHB,N/A,17,2.20,1,3,0.214,0.294,0.643,0.429,0.370,11.8%,50.0%,35.3%,20.5%,92.5,11.1%,11.1%,44.4%,33.3%,22.2%,72.8,23.3%,26.7%,10.0%,100.0%,66.7%,16.7%,11.1%,11.1%,55.6%,22.2%,22.2%,41.7%
Liam Hicks LHB,N/A,12,4.20,1,1,0.100,0.250,0.400,0.300,0.283,16.7%,30.8%,33.3%,11.8%,79.2,-,-,33.3%,16.7%,33.3%,66.8,-,23.1%,-,100.0%,50.0%,33.3%,16.7%,33.3%,50.0%,50.0%,-,30.0%
Javier Sanoja RHB,N/A,10,3.60,1,1,0.100,0.100,0.400,0.300,0.210,-,14.3%,10.0%,8.6%,91.7,11.1%,11.1%,22.2%,44.4%,33.3%,70.4,15.0%,35.0%,15.0%,95.2%,11.1%,0.0%,33.3%,44.4%,33.3%,55.6%,11.1%,20.0%
Jakob Marsee LHB,N/A,8,3.60,1,1,0.286,0.375,0.714,0.429,0.464,-,25.0%,12.5%,9.7%,81.6,16.7%,-,33.3%,33.3%,33.3%,68.7,10.0%,30.0%,10.0%,83.3%,33.3%,0.0%,16.7%,33.3%,33.3%,50.0%,16.7%,0.0%
Christopher Morel RHB,N/A,19,3.40,0,1,0.158,0.158,0.211,0.053,0.161,-,41.0%,47.4%,26.2%,90.9,10.0%,10.0%,20.0%,50.0%,50.0%,75.9,62.9%,22.9%,8.6%,89.7%,20.0%,0.0%,40.0%,30.0%,50.0%,30.0%,20.0%,50.0%
Leo Jimenez RHB,N/A,16,3.80,0,0,0.133,0.188,0.133,-,0.152,6.2%,34.5%,31.2%,17.2%,91.5,10.0%,-,10.0%,40.0%,50.0%,73.7,34.8%,21.7%,8.7%,88.5%,30.0%,0.0%,30.0%,40.0%,10.0%,90.0%,-,21.4%
Otto Lopez RHB,N/A,13,4.60,0,0,0.615,0.615,0.769,0.154,0.606,-,8.3%,7.7%,4.4%,87.5,-,-,8.3%,50.0%,25.0%,71.3,31.8%,31.8%,18.2%,100.0%,-,-,16.7%,75.0%,33.3%,41.7%,25.0%,23.1%
Connor Norby RHB,N/A,13,3.80,0,1,0.077,0.077,0.154,0.077,0.098,-,25.9%,15.4%,15.6%,90.3,9.1%,-,36.4%,45.5%,45.5%,71.4,11.1%,29.6%,11.1%,100.0%,72.7%,0.0%,9.1%,18.2%,36.4%,45.5%,18.2%,40.0%
Joe Mack LHB,N/A,8,3.60,0,0,0.125,0.125,0.125,-,0.111,-,43.8%,50.0%,20.6%,78.9,-,-,-,50.0%,-,76.0,61.5%,15.4%,15.4%,86.7%,-,-,-,75.0%,75.0%,25.0%,-,20.0%
Xavier Edwards SHB,N/A,8,4.40,0,0,0.250,0.250,0.250,-,0.222,-,17.6%,12.5%,7.1%,80.1,-,-,28.6%,-,71.4%,70.2,-,6.2%,-,94.1%,28.6%,0.0%,42.9%,14.3%,42.9%,57.1%,-,15.4%
Kyle Stowers LHB,N/A,7,4.60,0,0,0.143,0.143,0.143,-,0.127,-,37.5%,42.9%,13.6%,90.7,-,-,25.0%,25.0%,75.0%,72.8,14.3%,42.9%,14.3%,87.5%,-,-,75.0%,25.0%,25.0%,75.0%,-,28.6%
Owen Caissie LHB,N/A,4,2.80,0,0,0.250,0.250,0.250,-,0.222,-,7.7%,50.0%,3.3%,78.5,-,-,-,-,50.0%,72.8,33.3%,-,-,92.3%,50.0%,0.0%,-,50.0%,50.0%,50.0%,-,16.7%
