Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Tyler O'Neill","BAL","Jose Soriano","LAA","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","0"
"Dansby Swanson","CHC","Nolan McLean","NYM","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","1"
"Nick Gonzales","PIT","Bryan Woo","SEA","3","1.000","1.00","0.33","1.33","2","1","0","0","1","0","4","0.0","1.000","0"
"Seiya Suzuki","CHC","Nolan McLean","NYM","3","0.667","0.00","2.00","2.67","0","0","0","2","2","4","8","33.3","0.667","0"
"Brandon Nimmo","TEX","Eury Perez","MIA","5","0.600","1.00","0.60","1.20","2","0","0","1","1","3","6","40.0","0.667","1"
"Steven Kwan","CLE","Erick Fedde","CWS","9","0.556","0.57","0.33","0.89","4","0","0","1","1","1","8","11.1","0.556","0"
"Alejandro Osuna","TEX","Eury Perez","MIA","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Ian Happ","CHC","Nolan McLean","NYM","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.667","1"
"Edmundo Sosa","PHI","Miles Mikolas","WSH","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","50.0","0.500","0"
"Byron Buxton","MIN","Shohei Ohtani","LAD","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Ketel Marte","ARI","Matthew Liberatore","STL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.667","0"
"Matt Shaw","CHC","Sean Manaea","NYM","4","0.500","0.67","0.25","0.75","1","1","0","0","1","1","3","25.0","0.500","0"
"Seiya Suzuki","CHC","Sean Manaea","NYM","4","0.500","0.50","0.25","0.75","1","1","0","0","1","0","3","0.0","0.500","0"
"Tyler Soderstrom","ATH","Tyler Mahle","SF","6","0.500","0.60","0.17","0.67","2","1","0","0","1","0","4","16.7","0.500","0"
"Daniel Schneemann","CLE","Erick Fedde","CWS","6","0.500","0.60","0.67","1.17","0","2","1","0","3","2","7","16.7","0.500","0"
"Dylan Crews","WSH","Aaron Nola","PHI","10","0.500","0.83","0.30","0.80","3","1","1","0","2","2","8","40.0","0.500","0"
"Paul Goldschmidt","NYY","Tarik Skubal","DET","10","0.500","0.43","0.60","1.10","3","0","0","2","2","3","11","10.0","0.545","1"
"Alec Bohm","PHI","Miles Mikolas","WSH","16","0.438","0.43","0.31","0.75","4","2","0","1","3","2","12","6.3","0.471","1"
"Michael Busch","CHC","Sean Manaea","NYM","5","0.400","0.50","0.60","1.00","1","0","0","1","1","2","5","40.0","0.400","0"
"Blaze Alexander","BAL","Jose Soriano","LAA","5","0.400","0.67","0.20","0.60","1","1","0","0","1","1","3","40.0","0.400","0"
"Andruw Monasterio","BOS","Kyle Freeland","COL","5","0.400","0.50","0.60","1.00","1","0","0","1","1","1","5","40.0","0.400","0"
"Jeff McNeil","ATH","Tyler Mahle","SF","5","0.400","0.40","0.20","0.60","1","1","0","0","1","1","3","0.0","0.400","0"
"Jacob Young","WSH","Aaron Nola","PHI","8","0.375","0.75","0.13","0.50","2","1","0","0","1","0","4","50.0","0.333","0"
"Brandon Marsh","PHI","Miles Mikolas","WSH","11","0.364","0.50","0.09","0.45","3","1","0","0","1","2","5","36.4","0.357","1"
"Bryce Harper","PHI","Miles Mikolas","WSH","25","0.360","0.39","0.32","0.68","5","2","0","2","4","2","17","20.0","0.385","1"
"Manny Machado","SD","Martin Perez","ATL","20","0.350","0.33","0.20","0.55","5","1","0","1","2","3","11","5.0","0.480","5"
"Joey Meneses","ATH","Tyler Mahle","SF","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","33.3","0.333","0"
"Max Muncy","LAD","Joe Ryan","MIN","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","33.3","0.333","0"
"Randal Grichuk","CWS","Tanner Bibee","CLE","3","0.333","0.33","0.33","0.67","0","1","0","0","1","1","2","0.0","0.333","0"
"Luis Garcia Jr.","WSH","Aaron Nola","PHI","41","0.317","0.37","0.22","0.54","8","3","0","2","5","6","22","22.0","0.333","1"
