Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-08-25,Sutter Health Park,MIN @ ATH,9:40,+32%,+23%,+9%,+29%,+0.72,+0.79,+0.92,+2.58,+29%,+14%,+2%,+19%,+0.65,+0.47,+0.16,+1.66,+3%,+9%,+7%,+10%,+0.06,+0.31,+0.76,+0.91
2026-08-25,Nationals Park,COL @ WAS,6:45,+11%,+9%,+4%,+9%,+0.24,+0.30,+0.42,+0.80,+3%,+4%,+3%,+3%,+0.07,+0.15,+0.31,+0.28,+8%,+4%,+1%,+6%,+0.17,+0.15,+0.11,+0.51
2026-08-25,Yankee Stadium,HOU @ NYY,7:05,+9%,-20%,-6%,-6%,+0.20,-0.70,-0.67,-0.57,+4%,-12%,-6%,-5%,+0.08,-0.41,-0.60,-0.43,+5%,-8%,-1%,-2%,+0.12,-0.28,-0.06,-0.14
2026-08-25,T-Mobile Park,PHI @ SEA,9:40,+8%,-14%,-4%,-3%,+0.17,-0.48,-0.44,-0.30,+0%,-15%,-6%,-8%,+0.00,-0.52,-0.67,-0.74,+8%,+1%,+2%,+5%,+0.17,+0.04,+0.23,+0.44
2026-08-25,Truist Park,LAD @ ATL,7:15,+7%,-6%,+7%,+5%,+0.16,-0.21,+0.73,+0.45,-1%,-7%,+1%,-3%,-0.02,-0.25,+0.15,-0.26,+8%,+1%,+5%,+8%,+0.19,+0.04,+0.58,+0.71
2026-08-25,Citi Field,MIL @ NYM,7:10,+3%,-26%,-2%,-7%,+0.06,-0.89,-0.19,-0.65,-1%,-20%,-5%,-9%,-0.03,-0.70,-0.50,-0.76,+4%,-5%,+3%,+1%,+0.09,-0.19,+0.31,+0.10
2026-08-25,Rogers Centre,KC  @ TOR,7:07,+0%,+1%,-2%,-2%,+0.01,+0.05,-0.19,-0.20,+7%,-2%,-2%,-1%,+0.15,-0.06,-0.23,-0.11,-6%,+3%,+0%,-1%,-0.14,+0.11,+0.04,-0.09
2026-08-25,Petco Park,PIT @ SD,9:40,0%,-12%,-6%,-7%,0.00,-0.43,-0.67,-0.65,-5%,-11%,-4%,-7%,-0.11,-0.38,-0.46,-0.62,+5%,-1%,-2%,0%,+0.10,-0.05,-0.21,-0.03
2026-08-25,Angel Stadium,CLE @ LAA,9:38,-2%,-5%,+1%,-2%,-0.04,-0.17,+0.08,-0.16,-10%,-4%,+2%,-4%,-0.22,-0.13,+0.18,-0.32,+8%,-1%,-1%,+2%,+0.18,-0.04,-0.10,+0.16
2026-08-25,Rate Field,TEX @ CHW,7:40,-8%,-1%,+0%,-3%,-0.18,-0.05,+0.02,-0.25,-5%,-8%,+3%,-3%,-0.11,-0.28,+0.28,-0.23,-3%,+7%,-2%,0%,-0.07,+0.23,-0.26,-0.02
2026-08-25,Chase Field,CHC @ ARI,9:40,-9%,+11%,0%,0%,-0.20,+0.39,-0.01,0.00,-9%,+13%,+0%,+1%,-0.19,+0.46,+0.02,+0.09,0%,-2%,0%,-1%,-0.01,-0.06,-0.03,-0.10
2026-08-25,LoanDepot Park,BOS @ MIA,6:40,-14%,+3%,-2%,-6%,-0.31,+0.09,-0.26,-0.49,-14%,+2%,-2%,-5%,-0.31,+0.07,-0.16,-0.45,0%,+1%,-1%,0%,-0.01,+0.02,-0.10,-0.04
2026-08-25,Busch Stadium,BAL @ STL,7:45,-14%,-6%,+5%,-8%,-0.31,-0.20,+0.49,-0.68,-8%,-5%,+4%,-6%,-0.19,-0.19,+0.41,-0.52,-5%,-1%,+1%,-2%,-0.12,-0.02,+0.08,-0.15
2026-08-25,Comerica Park,TB  @ DET,6:40,-17%,-1%,+3%,-7%,-0.37,-0.02,+0.29,-0.64,-10%,+2%,+6%,-1%,-0.22,+0.07,+0.62,-0.06,-7%,-3%,-3%,-7%,-0.16,-0.09,-0.33,-0.58
2026-08-25,Oracle Park,CIN @ SF,9:45,-23%,+9%,+6%,-4%,-0.52,+0.31,+0.64,-0.34,-19%,+13%,+6%,-1%,-0.42,+0.46,+0.64,-0.05,-4%,-4%,+0%,-3%,-0.09,-0.15,+0.01,-0.29
