Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"13,180",1.14,1.08,1.11,1.10,1.15,1.53,0.87,1.00,1.04,1.04,1.06,88.4,174.2
2,Sutter Health Park,24',Open,"8,070",1.08,1.10,1.05,1.03,1.12,0.81,0.95,1.09,0.97,0.98,1.01,88,173.4
3,Great American Ball Park,535',Open,"12,055",1.03,1.11,1.01,0.99,1.02,0.89,1.00,1.06,1.01,0.98,1.00,88.2,174.6
4,Nationals Park,35',Open,"12,737",1.03,1.03,1.02,1.03,0.97,0.94,0.94,1.03,1.04,1.03,1.00,88.3,163.2
5,Target Field,828',Open,"12,457",1.02,0.96,1.03,1.03,1.09,0.94,0.99,0.98,1.03,1.02,1.00,88.4,174.5
6,Citizens Bank Park,20',Open,"12,055",1.02,1.08,1.03,1.03,0.98,1.01,1.05,0.95,0.93,0.99,1.00,88.4,164.2
7,Oriole Park at Camden Yards,33',Open,"12,289",1.02,1.02,1.02,1.02,1.00,1.07,0.98,0.97,1.03,1.03,1.00,89.1,170.1
8,Chase Field,1086',Retractable,"13,066",1.02,0.92,1.02,1.00,1.07,1.47,0.93,0.98,1.02,1.03,1.02,88.7,166.6
9,Daikin Park,45',Retractable,"12,041",1.01,1.11,1.01,0.99,0.99,0.94,1.08,1.02,0.96,1.00,0.99,88.2,167.5
10,Rogers Centre,270',Retractable,"12,403",1.01,1.06,1.01,0.99,1.03,0.78,1.02,1.00,1.05,1.01,0.99,88.1,166.4
11,Rate Field,595',Open,"12,217",1.01,1.00,1.00,1.01,0.99,0.86,0.97,1.06,1.02,1.02,0.99,88.3,170.1
12,Kauffman Stadium,856',Open,"12,591",1.01,0.90,1.01,0.99,1.08,1.28,0.93,1.01,1.01,1.02,1.02,88.7,169.8
13,Angel Stadium,151',Open,"12,004",1.01,1.01,1.02,1.04,0.95,0.94,1.01,1.02,0.99,1.02,1.00,88.4,167.5
14,Progressive Field,653',Open,"12,103",1.00,0.99,1.01,1.01,1.05,0.84,1.05,1.02,1.01,1.02,0.99,88,166.2
15,PNC Park,780',Open,"12,357",1.00,0.88,1.02,1.01,1.14,0.85,0.98,0.99,0.98,1.02,1.00,88.6,165.2
16,Truist Park,1001',Open,"12,160",1.00,0.98,1.02,1.05,0.97,0.99,1.03,0.98,0.98,1.00,1.01,88.7,167.1
17,Fenway Park,21',Open,"12,319",1.00,0.89,1.02,1.04,1.07,0.85,0.98,0.98,0.94,0.99,0.99,88.1,159.9
18,loanDepot park,10',Retractable,"12,558",1.00,0.92,1.00,1.00,1.03,1.20,0.97,1.04,1.03,1.03,1.00,88.3,161.1
19,Yankee Stadium,55',Open,"11,625",0.99,1.06,0.97,0.94,0.99,0.92,1.03,1.05,1.03,1.02,1.00,89.2,171.9
20,Tropicana Field,15',Dome,"6,588",0.99,1.06,0.98,0.96,0.99,1.08,1.03,0.94,1.03,0.96,1.01,87.2,168
21,Comerica Park,600',Open,"11,948",0.99,0.99,0.99,1.00,0.94,1.16,0.98,0.97,0.96,1.00,1.00,88.5,168.5
22,Dodger Stadium,515',Open,"11,864",0.99,1.10,0.98,0.95,0.97,0.73,1.05,1.01,0.98,1.00,1.00,88.9,171.9
23,American Family Field,597',Retractable,"11,698",0.98,1.06,0.99,0.99,0.93,0.91,1.09,1.01,0.97,0.98,1.01,87.6,164.5
24,Wrigley Field,595',Open,"12,155",0.97,1.04,0.98,1.00,0.84,1.07,1.00,0.97,1.00,1.01,0.99,88.5,169.1
25,Citi Field,10',Open,"12,121",0.97,0.97,0.98,0.98,0.96,0.89,1.04,1.06,0.97,0.98,0.99,88.4,165.5
26,Oracle Park,',Open,"12,306",0.97,0.80,1.00,1.02,1.01,1.24,0.96,0.98,0.94,1.00,0.99,88.2,159.8
27,Petco Park,23',Open,"12,081",0.97,1.04,0.97,0.97,0.91,0.79,1.05,1.02,1.05,0.99,0.99,88.1,165.2
28,Busch Stadium,460',Open,"12,861",0.97,0.81,0.99,1.02,1.04,0.84,0.93,0.95,0.98,1.02,1.00,88.7,161.5
29,Globe Life Field,545',Retractable,"12,038",0.96,0.94,0.97,0.98,0.96,0.97,1.01,0.96,1.02,1.02,1.00,88.5,171.3
30,T-Mobile Park,10',Retractable,"11,225",0.94,0.99,0.96,0.97,0.94,0.61,1.10,0.93,0.99,0.99,0.99,88.3,165.2
