Matchup,CHC @ NYM
Pitcher,Freddy Peralta
Pitcher Team,NYM
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,85.2,376,0.253,0.327,0.426,0.173,1.39,12,1.26,9.0%,26.7%,22.1%,18.1%,12.5%,8.72,59.6%,7.2%,5.5%,38.0%,25.1%,18.8%,16.5%
vsLHB,56.0,247,0.263,0.346,0.482,0.219,1.45,11,1.77,8.9%,28.4%,22.7%,19.2%,13.2%,9.00,55.9%,6.9%,7.1%,38.5%,25.4%,25.6%,15.4%
vsRHB,29.1,129,0.232,0.291,0.312,0.080,1.30,1,0.31,9.3%,23.5%,20.9%,16.3%,11.2%,8.28,66.7%,7.9%,2.3%,37.2%,24.4%,4.8%,18.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pete Crow-Armstrong LHB,,+340,12,18,5.20,2,2,0.467,0.556,0.933,0.467,0.610,16.7%,41.2%,38.9%,19.7%,92.6,267.6,2,2,12.5%,-,50.0%,50.0%,50.0%,74.9,54.5%,18.2%,9.1%,97.1%,37.5%,66.7%,37.5%,12.5%,62.5%,25.0%,12.5%,40.0%
Dansby Swanson RHB,,+596,24,13,4.60,1,1,0.400,0.462,0.800,0.400,0.496,15.4%,9.1%,15.4%,3.6%,94.5,267.2,3,1,11.1%,-,22.2%,77.8%,22.2%,70.9,10.5%,36.8%,15.8%,86.4%,22.2%,50.0%,33.3%,44.4%,66.7%,22.2%,11.1%,26.7%
Carson Kelly RHB,,+650,14,8,4.40,1,1,0.500,0.625,1.167,0.667,0.695,25.0%,18.8%,12.5%,6.5%,96.5,358.4,3,1,20.0%,20.0%,40.0%,60.0%,20.0%,71.5,14.3%,28.6%,14.3%,87.5%,60.0%,33.3%,-,40.0%,40.0%,40.0%,20.0%,25.0%
Alex Bregman RHB,,+580,24,20,4.80,0,0,0.077,0.400,0.077,-,0.279,25.0%,16.7%,10.0%,6.6%,87.9,222.8,3,1,-,-,27.3%,27.3%,54.5%,69.0,3.4%,20.7%,-,96.7%,27.3%,0.0%,18.2%,27.3%,54.5%,18.2%,27.3%,18.8%
Michael Busch LHB,,+479,19,20,5.20,0,1,0.059,0.200,0.118,0.059,0.168,5.0%,25.8%,50.0%,11.1%,89.1,300.4,3,1,14.3%,-,28.6%,42.9%,42.9%,68.8,-,15.4%,7.7%,86.7%,57.1%,0.0%,14.3%,28.6%,42.9%,28.6%,28.6%,35.7%
Ian Happ SHB,,+430,31,18,4.80,0,0,0.111,0.111,0.167,0.056,0.120,-,35.0%,38.9%,17.9%,84.7,305.5,3,2,9.1%,-,36.4%,36.4%,27.3%,71.4,5.7%,11.4%,8.6%,87.5%,45.5%,0.0%,18.2%,36.4%,54.5%,36.4%,9.1%,47.6%
Michael Conforto LHB,—,N/A,22,16,2.20,0,0,-,0.125,-,-,0.081,12.5%,48.4%,50.0%,22.4%,90.6,320.9,2,0,-,-,16.7%,50.0%,16.7%,73.0,40.0%,8.0%,4.0%,92.6%,16.7%,0.0%,16.7%,66.7%,33.3%,50.0%,16.7%,28.6%
Nico Hoerner RHB,,+1100,11,16,5.00,0,0,0.200,0.250,0.400,0.200,0.279,6.2%,22.6%,18.8%,11.1%,84.6,245.9,2,0,-,-,16.7%,25.0%,33.3%,67.7,3.6%,25.0%,7.1%,90.3%,8.3%,0.0%,33.3%,41.7%,41.7%,8.3%,50.0%,25.0%
Miguel Amaya RHB,—,N/A,16,15,3.60,0,2,0.333,0.467,0.583,0.250,0.448,13.3%,23.3%,20.0%,12.5%,89.5,284.9,3,2,22.2%,11.1%,22.2%,55.6%,55.6%,71.3,24.0%,20.0%,16.0%,86.2%,55.6%,0.0%,33.3%,11.1%,22.2%,66.7%,11.1%,69.2%
Matt Shaw RHB,,+810,13,13,4.80,0,1,0.182,0.308,0.364,0.182,0.293,15.4%,29.0%,23.1%,13.6%,87.1,286.8,2,0,12.5%,-,-,50.0%,50.0%,70.6,14.8%,14.8%,3.7%,87.1%,37.5%,0.0%,37.5%,25.0%,-,75.0%,25.0%,38.9%
Seiya Suzuki RHB,,+423,24,12,5.20,0,0,0.111,0.333,0.222,0.111,0.268,25.0%,32.0%,33.3%,11.9%,86.4,257.3,1,0,-,-,20.0%,20.0%,40.0%,72.8,30.4%,13.0%,-,95.8%,60.0%,0.0%,-,20.0%,20.0%,20.0%,60.0%,14.3%
Pedro Ramirez SHB,—,N/A,20,10,2.40,0,0,0.444,0.500,0.444,-,0.421,10.0%,22.2%,20.0%,10.3%,94.2,231.1,0,0,-,-,14.3%,71.4%,14.3%,72.8,22.2%,27.8%,22.2%,100.0%,-,-,14.3%,71.4%,42.9%,42.9%,14.3%,18.2%
