HR Split,Overall
Dates,="9/1/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,6:40 PM,Gavin Williams,vs,1.44,0.17,2.25,1.88,12.9%,30.9%,42.4%,27.1%,8.2%,1460
2,6:40 PM,Sean Manaea,@,1.29,-0.07,1.30,1.82,13.6%,18.1%,44.0%,32.2%,8.4%,928
3,6:40 PM,Nick Lodolo,vs,1.24,-0.01,1.06,2.20,11.2%,25.0%,39.6%,26.0%,7.2%,1110
4,6:45 PM,Jake Irvin,vs,0.86,1.00,0.47,1.71,9.4%,23.9%,44.1%,27.2%,7.3%,1263
5,7:40 PM,Matthew Boyd,vs,0.74,-1.27,1.14,1.95,10.4%,18.8%,35.7%,26.2%,7.4%,1291
6,10:10 PM,Eric Lauer,vs,0.66,1.40,0.21,1.70,9.8%,15.7%,35.8%,36.7%,6.8%,1013
7,6:45 PM,Bryan Woo,@,0.59,0.80,0.17,1.38,9.6%,17.2%,44.9%,31.6%,7.3%,1438
8,8:10 PM,Sean Burke,@,0.40,0.85,0.03,1.51,7.7%,17.2%,41.5%,31.0%,6.8%,1314
9,7:40 PM,Tyler Phillips,@,0.38,0.08,0.49,1.39,8.4%,18.0%,45.0%,26.5%,6.9%,858
10,10:10 PM,Michael McGreevy,@,0.37,1.03,-0.28,1.44,9.0%,16.5%,41.5%,28.3%,6.8%,1103
11,6:40 PM,Freddy Peralta,vs,0.27,0.33,0.25,1.52,8.3%,15.4%,37.5%,32.2%,5.4%,1516
12,7:40 PM,Robert Gasser,@,0.11,-0.49,0.21,1.34,7.2%,16.0%,38.1%,28.0%,8.0%,518
13,8:40 PM,Kyle Bradish,@,-0.00,0.42,-0.23,1.19,7.9%,16.9%,38.9%,25.8%,7.2%,846
14,6:40 PM,Paul Skenes,vs,-0.18,-0.11,-0.02,0.93,8.7%,17.1%,41.8%,22.7%,6.2%,1430
15,8:40 PM,Gabriel Hughes,vs,-0.23,-0.23,0.20,1.45,5.4%,18.8%,29.8%,25.9%,6.2%,323
16,8:05 PM,MacKenzie Gore,vs,-0.30,-0.22,-0.10,0.91,8.1%,9.8%,39.5%,28.2%,7.2%,1434
17,9:38 PM,Gerrit Cole,@,-0.43,-0.20,-0.31,0.87,5.5%,14.4%,40.7%,22.7%,8.8%,525
18,6:40 PM,Randy Vasquez,@,-0.47,-0.04,-0.49,0.75,7.8%,8.8%,39.9%,24.9%,8.6%,1188
19,7:40 PM,Troy Melton,@,-0.52,0.16,-0.92,0.87,6.1%,11.3%,39.1%,25.1%,7.5%,720
20,6:45 PM,AJ Smith-Shawver,@,-0.58,-0.07,-0.85,0.67,7.5%,8.1%,39.7%,29.1%,6.5%,317
21,9:38 PM,Grayson Rodriguez,vs,-0.62,-0.35,-0.48,0.76,6.5%,10.6%,37.1%,23.7%,8.6%,436
22,9:40 PM,Jesus Luzardo,@,-0.68,-1.35,-0.20,0.66,7.5%,12.3%,35.9%,24.7%,6.5%,1591
23,8:05 PM,Brady Basso,@,-0.74,-1.56,0.01,0.88,4.2%,8.9%,34.8%,28.0%,7.8%,211
24,6:40 PM,Logan Webb,@,-0.83,-0.52,-0.55,0.64,6.2%,10.9%,36.5%,22.8%,7.1%,1574
25,9:40 PM,Eduardo Rodriguez,vs,-0.96,-0.84,-0.49,0.66,5.8%,7.8%,31.2%,29.0%,6.4%,1482
26,7:40 PM,Andrew Morris,vs,-0.99,0.11,-1.11,0.93,2.0%,13.8%,33.1%,24.6%,5.4%,299
27,6:40 PM,Spencer Miles,@,-1.16,0.03,-1.60,0.38,4.8%,7.2%,34.9%,25.1%,8.3%,356
28,7:40 PM,Randy Dobnak,vs,-1.32,-0.69,-1.26,0.52,3.2%,8.2%,38.8%,21.6%,4.7%,355
