Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Luis Campusano,RHB,SD,Logan Henderson,R,63.1,33.6,32.1,58,42.2
Josh Smith,LHB,TOR,Sonny Gray,R,30,51.3,8.9,63.2,39.4
Jesus Sanchez,LHB,TOR,Sonny Gray,R,35.2,55.3,6.7,56.3,39
Yordan Alvarez,LHB,HOU,Blade Tidwell,R,29.7,46.9,35.4,31.6,37.9
Ty France,RHB,SD,Logan Henderson,R,40.3,37.6,33.3,38.9,36.9
Bryce Eldridge,LHB,SF,Hayden Wesneski,R,29.3,45.6,18.3,48.7,36.6
Max Kepler,LHB,ARI,Gabriel Hughes,R,33.8,50.9,21.7,30.9,35.4
Jake Burger,RHB,TEX,Reid Detmers,L,46,21.4,31.6,55.4,35.4
Drake Baldwin,LHB,ATL,Christian Scott,R,40.9,35.4,44.5,22.2,35.4
Austin Riley,RHB,ATL,Christian Scott,R,39.6,44.3,21.4,37.6,35.3
Christian Yelich,LHB,MIL,Casey Mize,R,29.7,30.8,17.4,64.4,35.1
Jose Siri,RHB,LAA,MacKenzie Gore,L,15.3,42.5,18.7,50.8,34.7
Ryan Jeffers,RHB,MIN,Trevor Rogers,L,30.1,39.6,18.9,46.8,34.2
Cole Carrigg,SHB,COL,Michael Soroka,R,48.8,15,28,60.1,33.6
Derek Hill,RHB,PHI,Hunter Dobbins,R,20.5,23.3,33.2,52.8,33.4
Corbin Carroll,LHB,ARI,Gabriel Hughes,R,38.2,24.2,23.8,55,33.2
Teoscar Hernandez,RHB,LAD,Noah Cameron,L,36.9,31,20.5,48.9,32.9
Ronald Acuna Jr.,RHB,ATL,Christian Scott,R,25.2,32,26.8,43.2,32.6
Carter Jensen,LHB,KC,Tarik Skubal,L,48,27.6,20,48,32.5
Pete Alonso,RHB,BAL,Dean Kremer,R,25.7,24.1,33.5,44.1,32.1
Jake McCarthy,LHB,COL,Michael Soroka,R,51.1,35,17.7,36.8,31.9
Kyle Karros,RHB,COL,Michael Soroka,R,60.4,20.9,24.6,42.3,31.3
Royce Lewis,RHB,MIN,Trevor Rogers,L,41.6,26.8,11.4,56.8,31.2
Jac Caglianone,LHB,KC,Tarik Skubal,L,48,21.4,22.4,48.8,31.2
Christian Walker,RHB,HOU,Blade Tidwell,R,35.6,24.1,25.2,43.8,30.5
Fernando Tatis Jr.,RHB,SD,Logan Henderson,R,53.7,29,14.5,42.6,30.5
Michael Massey,LHB,KC,Tarik Skubal,L,62.8,13.2,24.7,48,30.3
Willi Castro,SHB,COL,Michael Soroka,R,32.7,38,27.5,19.8,29.8
Shohei Ohtani,LHB,LAD,Noah Cameron,L,45.3,26.3,20.8,37.4,29.3
TJ Rumfield,LHB,COL,Michael Soroka,R,24,25.1,24.4,43.2,29.3
Junior Caminero,RHB,TB,Jacob Lopez,L,15.9,34.2,22.1,36.6,29.3
Tim Tawa,RHB,ARI,Gabriel Hughes,R,63.1,16.9,19.5,44.8,29.3
Kyle Schwarber,LHB,PHI,Hunter Dobbins,R,31.2,32.5,18.9,35.6,29.1
Kody Clemens,LHB,MIN,Trevor Rogers,L,11.3,29.7,23.3,42.3,29.1
Justin Foscue,RHB,TEX,Reid Detmers,L,26.5,20.7,19.7,48.5,27.9
Jackson Merrill,LHB,SD,Logan Henderson,R,31.6,34.5,7.7,41.4,27.9
Gary Sanchez,RHB,MIL,Casey Mize,R,36.3,23.4,18.3,40.3,27.4
Brandon Valenzuela,SHB,TOR,Sonny Gray,R,44.8,21.1,23.2,34.2,27.4
Manny Machado,RHB,SD,Logan Henderson,R,53.6,22.4,18.5,34.6,27.4
Mickey Moniak,LHB,COL,Michael Soroka,R,27.9,31.3,17.7,33.1,27.3
Sung-Mun Song,LHB,SD,Logan Henderson,R,41.7,29.8,13.8,33.9,27.2
Matt Olson,LHB,ATL,Christian Scott,R,14,25.8,23.5,37.8,26.9
Gavin Sheets,LHB,SD,Logan Henderson,R,28.4,19.5,25.5,36.2,26.4
Ryan Waldschmidt,RHB,ARI,Gabriel Hughes,R,63.2,19.5,9.8,40,26.1
Xander Bogaerts,RHB,SD,Logan Henderson,R,69.9,10,15.7,43.2,26
Rafael Devers,LHB,SF,Hayden Wesneski,R,19.3,22.9,30.2,27.2,25.8
Kazuma Okamoto,RHB,TOR,Sonny Gray,R,34.1,27.4,18.4,28.3,25.6
Pedro Pages,RHB,STL,Andrew Painter,R,34.3,27.3,28.5,16.3,25.6
Elias Diaz,RHB,TEX,Reid Detmers,L,31.3,26.3,13,36.1,25.3
Ozzie Albies,SHB,ATL,Christian Scott,R,22.6,19.1,31.5,27.5,25.3
Lawrence Butler,LHB,ATH,Freddy Peralta,R,13.4,35.6,4.3,40.8,25.3
Freddie Freeman,LHB,LAD,Noah Cameron,L,46.8,9.3,11.5,54.7,25.1
Gabriel Arias,RHB,NYM,Bryce Elder,R,41.6,22.9,25,20.9,24.9
Willson Contreras,RHB,BOS,Jameson Taillon,R,38.6,18.4,21.6,32.1,24.8
Jimmy Crooks,LHB,STL,Andrew Painter,R,40.8,31.3,,39.2,24.8
Michael Harris II,LHB,ATL,Christian Scott,R,37.8,21.4,27.3,21.4,24.8
Colton Cowser,LHB,BAL,Dean Kremer,R,34.6,26.7,17.6,26.1,24.6
Taylor Trammell,LHB,HOU,Blade Tidwell,R,29.7,21.2,21.2,30.5,24.4
Zach Neto,RHB,LAA,MacKenzie Gore,L,40,20.3,18.7,30.2,24.3
Jase Bowen,RHB,SD,Logan Henderson,R,55,29,,34.2,24.2
Bobby Witt Jr.,RHB,KC,Tarik Skubal,L,24.8,20.9,12.5,42.1,24.1
Jeremiah Jackson,RHB,BAL,Dean Kremer,R,40.8,17,28.3,21.9,24
Coby Mayo,RHB,BAL,Dean Kremer,R,39.5,10.5,10.5,52.7,24
Yandy Diaz,RHB,TB,Jacob Lopez,L,15.9,24,22.8,27.5,23.7
Edmundo Sosa,RHB,PHI,Hunter Dobbins,R,15.8,29.6,21.8,20.2,23.5
Jared Young,LHB,NYM,Bryce Elder,R,34.7,17.8,12.2,40.1,23.4
A.J. Ewing,LHB,NYM,Bryce Elder,R,35,13.6,16.8,39.1,23.1
Connor Wong,RHB,BOS,Jameson Taillon,R,45,22.3,11.7,28.2,22.9
Nolan Arenado,RHB,ARI,Gabriel Hughes,R,25.2,17.3,13.3,41.4,22.9
Freddy Fermin,RHB,SD,Logan Henderson,R,54.4,5.5,,62.1,22.9
Jackson Holliday,LHB,BAL,Dean Kremer,R,14.8,16.1,9.3,51.3,22.7
Hunter Goodman,RHB,COL,Michael Soroka,R,26.7,26.4,22.3,15.6,22.5
Dominic Smith,LHB,ATL,Christian Scott,R,56.5,11.2,22.3,24.7,22.4
Garrett Mitchell,LHB,MIL,Casey Mize,R,37.9,13.7,9.5,43.6,22.3
Brice Turang,LHB,MIL,Casey Mize,R,23.2,16.8,14.3,38.9,22.2
Ketel Marte,SHB,ARI,Gabriel Hughes,R,29,17.6,20.3,27.9,22.1
Bryce Harper,LHB,PHI,Hunter Dobbins,R,34,18.9,24.1,18.9,22
Jeremy Pena,RHB,HOU,Blade Tidwell,R,53.1,3.1,22.3,35.8,22
Lane Thomas,RHB,ATL,Christian Scott,R,50.8,17,10.9,30.4,21.9
Salvador Perez,RHB,KC,Tarik Skubal,L,31.8,23.6,8.2,31.7,21.8
Ryan Vilade,RHB,TB,Jacob Lopez,L,39,19.1,18.4,22.7,21.8
Carson Benge,LHB,NYM,Bryce Elder,R,28.4,26.1,8.6,28.7,21.7
Max Muncy,LHB,LAD,Noah Cameron,L,34.8,26.1,8,26.5,21.6
Cameron Cauley,RHB,TEX,Reid Detmers,L,27.4,,22.2,48.5,21.5
Francisco Lindor,SHB,NYM,Bryce Elder,R,25.8,23.4,8.6,32.7,21.5
James McCann,RHB,ARI,Gabriel Hughes,R,45.9,9.8,22.7,26.3,21.4
Masyn Winn,RHB,STL,Andrew Painter,R,21,14.9,15.8,37.2,21.4
Carlos Cortes,LHB,ATH,Freddy Peralta,R,54.7,12.4,15.5,26.8,21.2
Nathan Lukes,LHB,TOR,Sonny Gray,R,6.4,7.1,15.4,53.6,21.1
Lars Nootbaar,LHB,ARI,Gabriel Hughes,R,44.3,13.7,9.4,35.5,20.9
Ezequiel Duran,RHB,TEX,Reid Detmers,L,21.2,18.7,18.7,26.3,20.8
Luis Rengifo,SHB,SD,Logan Henderson,R,29.3,8.1,8.8,47.8,20.4
Nathan Church,LHB,STL,Andrew Painter,R,21.5,19.3,13.1,30,20.3
Davis Schneider,RHB,TOR,Sonny Gray,R,23.8,17.8,17.8,24,20
Vaughn Grissom,RHB,LAA,MacKenzie Gore,L,45.8,8.2,,50,20
Grant McCray,LHB,SF,Hayden Wesneski,R,33.7,12.2,12.2,34.1,19.8
Brooks Lee,SHB,MIN,Trevor Rogers,L,29.7,15,5.6,39.2,19.7
Jake Bauers,LHB,MIL,Casey Mize,R,37,11.2,9.8,35.7,19.5
Kyle Isbel,LHB,KC,Tarik Skubal,L,44.8,,,59.6,19.4
Daulton Varsho,LHB,HOU,Blade Tidwell,R,24.4,20.6,16.6,18.6,19.3
Miguel Rojas,RHB,LAD,Noah Cameron,L,32.7,13.7,8.7,34.5,19.3
Edouard Julien,LHB,COL,Michael Soroka,R,30.9,19.6,10.6,24.1,19.2
Mike Yastrzemski,LHB,ATL,Christian Scott,R,28.4,14.8,16.1,24.6,19
Josh Bell,SHB,MIN,Trevor Rogers,L,22.2,19.4,9.9,28,19
Kyle Tucker,LHB,LAD,Noah Cameron,L,19.1,7.8,11.5,43.8,19
Gunnar Henderson,LHB,BAL,Dean Kremer,R,24.7,11.6,12.5,35,19
Trevor Larnach,LHB,MIN,Trevor Rogers,L,50.9,12,12,23.8,18.8
Brandon Nimmo,LHB,TEX,Reid Detmers,L,24.6,10.9,19.2,26.7,18.7
Jackson Chourio,RHB,MIL,Casey Mize,R,33.3,17.8,18.7,13.7,18.6
Andres Gimenez,LHB,TOR,Sonny Gray,R,35.2,4.9,23.2,25.4,18.5
Jordan Walker,RHB,STL,Andrew Painter,R,42.2,15.6,15.7,15.7,18.3
Brandon Marsh,LHB,PHI,Hunter Dobbins,R,30.4,13.5,18.9,18.9,18.2
Nick Fortes,RHB,TB,Jacob Lopez,L,31,8.6,7.6,39.2,18.2
Jarren Duran,LHB,BOS,Jameson Taillon,R,22.9,15.3,14.7,24.7,18.2
Brett Baty,LHB,NYM,Bryce Elder,R,32.7,9.5,17.4,25.5,18.2
