Matchup,PIT @ ATH
Pitcher,Jack Perkins
Pitcher Team,ATH
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,36.0,164,0.257,0.324,0.396,0.139,1.36,4,1.00,7.3%,29.1%,26.2%,20.7%,15.0%,10.75,66.5%,6.0%,5.8%,34.0%,30.1%,9.7%,14.6%
vsLHB,17.2,79,0.203,0.258,0.246,0.043,1.13,0,-,7.6%,32.5%,32.9%,23.2%,16.0%,13.25,59.5%,5.1%,2.3%,37.2%,18.6%,-,18.6%
vsRHB,18.1,85,0.307,0.386,0.533,0.227,1.58,4,1.96,7.1%,25.8%,20.0%,17.7%,13.9%,8.35,72.9%,7.0%,8.3%,31.7%,38.3%,13.0%,11.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Tyler Callihan LHB,,+600,14,24,3.40,2,2,0.211,0.375,0.526,0.316,0.387,16.7%,30.0%,25.0%,16.2%,83.0,283.5,3,2,15.4%,15.4%,53.8%,38.5%,7.7%,69.8,11.1%,16.7%,11.1%,90.0%,61.5%,25.0%,-,30.8%,69.2%,15.4%,15.4%,64.7%
Henry Davis RHB,—,N/A,17,13,2.80,2,2,0.250,0.308,0.750,0.500,0.441,7.7%,30.4%,38.5%,13.7%,87.1,274.1,3,2,28.6%,28.6%,71.4%,57.1%,28.6%,73.8,36.8%,21.1%,10.5%,86.4%,42.9%,66.7%,14.3%,14.3%,85.7%,-,14.3%,58.3%
Brandon Lowe LHB,,+300,24,22,4.80,1,1,0.167,0.273,0.444,0.278,0.299,13.6%,21.1%,18.2%,9.4%,91.1,281.6,5,2,-,-,20.0%,40.0%,26.7%,74.5,43.2%,27.0%,13.5%,97.4%,40.0%,16.7%,20.0%,33.3%,40.0%,33.3%,26.7%,31.6%
Bryan Reynolds SHB,,+550,14,18,4.40,1,2,0.267,0.389,0.600,0.333,0.419,11.1%,25.0%,16.7%,11.5%,95.3,327.7,6,4,25.0%,8.3%,8.3%,66.7%,58.3%,74.4,33.3%,41.7%,16.7%,88.9%,33.3%,25.0%,33.3%,33.3%,25.0%,75.0%,-,46.7%
Endy Rodriguez SHB,,+680,22,17,3.20,1,1,0.333,0.412,0.600,0.267,0.432,11.8%,13.0%,17.6%,6.4%,95.5,289.0,5,2,16.7%,-,25.0%,58.3%,58.3%,72.5,21.7%,47.8%,21.7%,100.0%,16.7%,0.0%,50.0%,25.0%,41.7%,25.0%,33.3%,38.5%
Marcell Ozuna RHB,—,N/A,24,16,3.20,1,1,0.308,0.438,0.538,0.231,0.420,18.8%,20.0%,18.8%,6.7%,92.9,248.4,2,1,20.0%,10.0%,20.0%,40.0%,50.0%,74.0,45.0%,30.0%,10.0%,83.3%,30.0%,33.3%,40.0%,20.0%,20.0%,60.0%,20.0%,5.6%
Esmerlyn Valdez RHB,—,N/A,8,11,3.20,1,1,0.091,0.091,0.364,0.273,0.191,-,45.5%,54.5%,25.0%,83.6,278.0,3,1,20.0%,-,-,20.0%,60.0%,73.1,30.0%,10.0%,5.0%,95.2%,60.0%,33.3%,-,20.0%,-,40.0%,60.0%,11.1%
Spencer Horwitz LHB,,+544,9,22,4.80,0,1,0.300,0.364,0.350,0.050,0.319,9.1%,16.3%,18.2%,6.7%,85.9,186.2,2,1,6.7%,-,13.3%,33.3%,26.7%,69.4,10.3%,17.9%,5.1%,92.9%,20.0%,0.0%,20.0%,26.7%,20.0%,26.7%,53.3%,15.4%
Ryan O'Hearn LHB,,+474,39,16,4.00,0,0,0.125,0.125,0.125,-,0.111,-,33.3%,31.2%,15.7%,92.2,290.3,2,1,-,-,9.1%,54.5%,36.4%,70.6,4.5%,36.4%,13.6%,91.7%,18.2%,0.0%,27.3%,54.5%,18.2%,54.5%,27.3%,11.1%
Jared Triolo RHB,,+990,19,16,3.80,0,1,0.200,0.250,0.267,0.067,0.231,6.2%,31.6%,31.2%,10.2%,92.4,298.5,5,0,-,-,-,40.0%,40.0%,70.2,-,53.3%,20.0%,78.9%,40.0%,0.0%,20.0%,40.0%,30.0%,40.0%,30.0%,26.7%
