Matchup,SF @ ATL
Pitcher,Grant Holmes
Pitcher Team,ATL
Opposing Team,SF

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.1,2.18,="10-32",.313,.531,0.218,2,1,0,3,15.8,6,.421,.952
Batting Second,8.1,1.32,="7-31",.226,.516,0.290,3,0,0,6,28.6,4,.314,.830
Batting Third,8.1,1.32,="7-31",.226,.548,0.322,3,1,0,5,20.0,4,.314,.862
Batting Fourth,9.0,0.78,="6-31",.194,.355,0.161,1,2,0,3,12.1,1,.212,.567
Batting Fifth,6.1,1.74,="7-26",.269,.500,0.231,2,0,0,4,25.8,4,.387,.887
Batting Sixth,6.2,1.65,="8-28",.286,.500,0.214,1,1,1,2,16.1,3,.355,.855
Batting Seventh,8.0,0.75,="3-27",.111,.111,0.000,0,0,0,3,20.0,3,.200,.311
Batting Eighth,6.2,1.05,="6-26",.231,.385,0.154,1,1,0,2,25.0,1,.286,.671
Batting Ninth,5.2,1.59,="6-23",.261,.348,0.087,0,2,0,0,23.1,3,.346,.694

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Luis Arraez LHB,Batting First ​,="3-20",.150,.250,0.100,0,0,1,1,0.0,1,.190,.440
Bryce Eldridge LHB,Batting Second ​,="4-7",.571,1.000,0.429,1,0,0,1,12.5,1,.625,1.625
Matt Chapman RHB,Batting Third ​,="22-69",.319,.478,0.159,2,3,1,10,17.9,9,.397,.875
Rafael Devers LHB,Batting Fourth ​,="44-167",.263,.467,0.204,6,14,1,24,28.8,9,.305,.772
Jung Hoo Lee LHB,Batting Fifth ​,="29-79",.367,.443,0.076,0,4,1,7,7.4,1,.383,.826
Willy Adames RHB,Batting Sixth ​,="18-78",.231,.269,0.038,0,3,0,5,26.3,2,.250,.519
Casey Schmitt RHB,Batting Seventh ​,="1-10",.100,.100,0.000,0,0,0,1,9.1,0,.182,.282
Drew Gilbert LHB,Batting Eighth ​,="12-69",.174,.232,0.058,1,1,0,7,19.8,9,.288,.520
Daniel Susac RHB,Batting Ninth ​,="0-5",.000,.000,0.000,0,0,0,0,40.0,0,.000,.000
