Matchup,PHI @ LAD
Pitcher,Jesus Luzardo
Pitcher Team,PHI
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,61.2,261,0.262,0.311,0.384,0.122,1.30,5,0.73,6.9%,32.0%,27.6%,21.4%,14.8%,10.51,57.9%,6.3%,5.4%,28.1%,19.2%,15.6%,12.6%
vsLHB,13.0,52,0.224,0.246,0.306,0.082,1.00,1,0.69,3.8%,30.4%,25.0%,24.1%,14.5%,9.00,63.5%,7.8%,5.4%,29.7%,10.8%,25.0%,2.7%
vsRHB,47.2,209,0.271,0.326,0.404,0.133,1.41,4,0.76,7.7%,32.3%,28.2%,20.9%,14.9%,11.14,56.5%,6.0%,5.4%,27.7%,21.5%,14.3%,15.4%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Mookie Betts RHB,N/A,10,4.80,2,2,0.200,0.200,0.800,0.600,0.420,-,10.0%,10.0%,4.8%,93.8,22.2%,11.1%,22.2%,55.6%,44.4%,68.6,6.7%,33.3%,20.0%,88.2%,55.6%,40.0%,11.1%,22.2%,44.4%,22.2%,33.3%,33.3%
Andy Pages RHB,N/A,16,4.40,1,1,0.333,0.375,0.667,0.333,0.442,6.2%,25.0%,18.8%,12.1%,87.7,8.3%,8.3%,16.7%,41.7%,58.3%,73.1,32.0%,20.0%,16.0%,92.6%,25.0%,33.3%,33.3%,41.7%,33.3%,58.3%,8.3%,28.6%
Santiago Espinal RHB,N/A,12,2.40,1,1,0.167,0.167,0.417,0.250,0.249,-,16.0%,16.7%,6.9%,84.5,10.0%,10.0%,20.0%,30.0%,40.0%,69.2,5.0%,30.0%,10.0%,83.3%,60.0%,16.7%,10.0%,20.0%,20.0%,30.0%,50.0%,7.7%
Kyle Tucker LHB,N/A,14,4.60,0,0,0.455,0.571,1.000,0.545,0.616,21.4%,16.7%,7.1%,8.3%,89.2,-,-,30.0%,50.0%,40.0%,70.7,22.7%,31.8%,18.2%,91.7%,20.0%,0.0%,30.0%,50.0%,40.0%,20.0%,40.0%,44.4%
Will Smith RHB,N/A,13,4.20,0,0,0.182,0.308,0.182,-,0.237,15.4%,30.0%,23.1%,11.5%,97.7,-,-,25.0%,75.0%,50.0%,71.2,15.8%,42.1%,21.1%,95.0%,37.5%,0.0%,50.0%,12.5%,25.0%,75.0%,-,9.1%
Alex Call RHB,N/A,11,3.00,0,0,0.400,0.364,0.500,0.100,0.358,-,5.6%,-,2.9%,86.5,-,-,9.1%,18.2%,9.1%,67.0,-,47.1%,-,94.4%,9.1%,0.0%,9.1%,54.5%,45.5%,27.3%,27.3%,28.6%
Shohei Ohtani LHB,N/A,10,4.40,0,0,0.111,0.100,0.111,-,0.089,-,33.3%,30.0%,12.9%,82.3,-,-,14.3%,14.3%,28.6%,73.0,25.0%,16.7%,-,100.0%,28.6%,0.0%,-,57.1%,42.9%,42.9%,14.3%,50.0%
Freddie Freeman LHB,N/A,10,4.60,0,0,0.333,0.400,0.444,0.111,0.370,10.0%,33.3%,40.0%,13.3%,94.4,-,-,-,60.0%,20.0%,69.3,-,25.0%,12.5%,88.9%,-,-,40.0%,60.0%,20.0%,40.0%,40.0%,37.5%
Miguel Rojas RHB,N/A,10,3.40,0,0,0.100,0.100,0.100,-,0.089,-,9.1%,10.0%,4.9%,81.6,-,-,-,11.1%,44.4%,67.2,5.0%,30.0%,5.0%,90.9%,33.3%,0.0%,22.2%,33.3%,-,77.8%,22.2%,33.3%
Dalton Rushing LHB,N/A,9,3.00,0,0,0.125,0.222,0.250,0.125,0.213,11.1%,38.5%,33.3%,16.7%,81.3,-,-,20.0%,40.0%,40.0%,70.7,11.1%,33.3%,22.2%,69.2%,-,-,40.0%,20.0%,40.0%,20.0%,40.0%,22.2%
Max Muncy LHB,N/A,7,4.00,0,0,0.200,0.429,0.200,-,0.323,14.3%,23.1%,14.3%,9.4%,91.6,-,-,25.0%,25.0%,-,71.5,9.1%,18.2%,9.1%,91.7%,25.0%,0.0%,-,75.0%,75.0%,25.0%,-,60.0%
Alex Freeland SHB,N/A,7,3.60,0,0,0.143,0.143,0.286,0.143,0.181,-,12.5%,57.1%,3.1%,89.3,-,-,-,33.3%,100.0%,69.7,14.3%,28.6%,14.3%,87.5%,33.3%,0.0%,33.3%,33.3%,-,66.7%,33.3%,16.7%
