Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-07-29,Sutter Health Park,BOS @ ATH,9:40,+36%,+15%,+7%,+27%,+0.82,+0.51,+0.78,+2.36,+32%,+14%,+2%,+20%,+0.73,+0.47,+0.16,+1.79,+4%,+1%,+6%,+7%,+0.09,+0.04,+0.62,+0.57
2026-07-29,Great American BP,CLE @ CIN,7:10,+19%,+3%,-2%,+11%,+0.43,+0.10,-0.22,+0.95,+16%,+2%,-1%,+10%,+0.35,+0.07,-0.11,+0.87,+3%,+1%,-1%,+1%,+0.07,+0.03,-0.11,+0.08
2026-07-29,Oracle Park,MIL @ SF,3:45,-8%,+23%,+8%,+9%,-0.19,+0.81,+0.86,+0.82,-19%,+12%,+6%,-1%,-0.42,+0.43,+0.59,-0.10,+10%,+11%,+3%,+10%,+0.23,+0.38,+0.27,+0.92
2026-07-29,Comerica Park,BAL @ DET,1:10,+2%,+5%,+6%,+6%,+0.05,+0.19,+0.61,+0.51,-9%,+3%,+6%,0%,-0.21,+0.12,+0.62,-0.01,+11%,+2%,0%,+6%,+0.26,+0.07,-0.01,+0.51
2026-07-29,PNC Park,ARI @ PIT,12:35,-10%,+16%,+0%,+4%,-0.22,+0.56,+0.01,+0.33,-15%,+11%,+0%,-1%,-0.34,+0.40,+0.01,-0.07,+6%,+5%,0%,+4%,+0.13,+0.16,0.00,+0.39
2026-07-29,Dodger Stadium,SEA @ LAD,10:10,+15%,+1%,-10%,-2%,+0.34,+0.04,-1.03,-0.15,+16%,-3%,-5%,0%,+0.36,-0.10,-0.57,-0.02,-1%,+4%,-4%,-2%,-0.01,+0.15,-0.46,-0.14
2026-07-29,Nationals Park,TOR @ WAS,1:05,-2%,-6%,+2%,-4%,-0.05,-0.22,+0.26,-0.35,+3%,+4%,+4%,+3%,+0.06,+0.14,+0.38,+0.31,-5%,-10%,-1%,-7%,-0.12,-0.36,-0.12,-0.65
2026-07-29,Rate Field,NYY @ CHW,7:40,-3%,-10%,+1%,-4%,-0.08,-0.34,+0.09,-0.36,-5%,-9%,+3%,-3%,-0.12,-0.32,+0.31,-0.27,+2%,-1%,-2%,-1%,+0.04,-0.02,-0.22,-0.09
2026-07-29,Target Field,KC  @ MIN,7:40,-8%,+1%,-3%,-4%,-0.19,+0.03,-0.31,-0.39,-6%,+2%,+2%,+1%,-0.14,+0.06,+0.24,+0.07,-2%,-1%,-5%,-5%,-0.05,-0.04,-0.54,-0.46
2026-07-29,Angel Stadium,HOU @ LAA,9:38,-7%,-6%,+0%,-5%,-0.17,-0.20,+0.03,-0.40,-10%,-4%,+1%,-4%,-0.23,-0.13,+0.12,-0.37,+3%,-2%,-1%,0%,+0.06,-0.06,-0.09,-0.03
2026-07-29,Petco Park,COL @ SD,4:10,+5%,-17%,-3%,-5%,+0.11,-0.60,-0.36,-0.46,-5%,-11%,-5%,-7%,-0.12,-0.37,-0.48,-0.64,+10%,-7%,+1%,+2%,+0.23,-0.23,+0.12,+0.18
2026-07-29,LoanDepot Park,PHI @ MIA,12:10,-13%,+2%,-2%,-5%,-0.30,+0.06,-0.20,-0.47,-13%,+1%,-1%,-5%,-0.30,+0.03,-0.11,-0.44,+0%,+1%,-1%,0%,+0.00,+0.02,-0.10,-0.03
2026-07-29,Tropicana Field,TEX @ TB,6:40,-3%,-6%,-8%,-6%,-0.06,-0.22,-0.82,-0.49,-3%,-6%,-7%,-6%,-0.08,-0.22,-0.80,-0.50,+1%,0%,0%,+0%,+0.02,0.00,-0.03,+0.01
2026-07-29,Citi Field,ATL @ NYM,1:10,+3%,-14%,-8%,-7%,+0.06,-0.48,-0.88,-0.58,-1%,-19%,-4%,-8%,-0.03,-0.66,-0.47,-0.70,+4%,+5%,-4%,+1%,+0.09,+0.18,-0.41,+0.12
2026-07-29,Citi Field,ATL @ NYM,7:10,+4%,-15%,-10%,-8%,+0.08,-0.51,-1.05,-0.67,-1%,-19%,-4%,-8%,-0.03,-0.66,-0.47,-0.69,+5%,+4%,-5%,+0%,+0.11,+0.14,-0.58,+0.02
2026-07-29,Busch Stadium,CHC @ STL,7:45,-17%,-5%,+5%,-9%,-0.39,-0.18,+0.54,-0.75,-10%,-5%,+4%,-6%,-0.22,-0.17,+0.46,-0.52,-8%,0%,+1%,-3%,-0.17,-0.01,+0.07,-0.23
