Matchup,SD @ STL
Pitcher,Michael King
Pitcher Team,SD
Opposing Team,STL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,80.2,325,0.213,0.292,0.355,0.143,1.15,10,1.12,9.8%,26.8%,21.8%,19.5%,12.1%,7.92,58.2%,6.7%,10.2%,34.3%,24.1%,17.3%,14.4%
vsLHB,48.0,191,0.200,0.275,0.335,0.135,1.08,6,1.12,9.4%,25.0%,20.9%,18.9%,11.2%,7.50,52.8%,5.3%,12.3%,34.6%,26.2%,17.6%,16.2%
vsRHB,31.2,134,0.231,0.315,0.385,0.154,1.29,4,1.14,10.4%,29.4%,23.1%,20.4%,13.4%,8.81,65.9%,8.6%,7.0%,33.7%,20.9%,16.7%,11.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Alec Burleson LHB,,+490,18,29,4.40,6,7,0.423,0.483,1.231,0.808,0.694,10.3%,20.4%,20.7%,8.5%,97.4,302.9,9,7,35.0%,25.0%,50.0%,55.0%,50.0%,74.1,37.3%,29.4%,19.6%,96.2%,40.0%,75.0%,30.0%,25.0%,75.0%,15.0%,10.0%,27.6%
Lars Nootbaar LHB,,+600,18,33,3.80,1,3,0.276,0.364,0.448,0.172,0.354,12.1%,13.3%,21.2%,4.4%,94.9,297.0,7,3,13.6%,9.1%,18.2%,59.1%,45.5%,74.8,54.8%,38.1%,19.0%,93.3%,27.3%,16.7%,36.4%,36.4%,45.5%,31.8%,22.7%,12.1%
Jordan Walker RHB,,+540,14,33,4.40,1,1,0.303,0.303,0.515,0.212,0.352,-,27.8%,27.3%,13.8%,95.0,284.5,8,2,4.2%,4.2%,20.8%,50.0%,41.7%,79.7,88.0%,26.0%,22.0%,92.6%,20.8%,20.0%,37.5%,41.7%,37.5%,50.0%,12.5%,33.3%
JJ Wetherholt LHB,,+540,17,30,4.60,1,2,0.207,0.233,0.310,0.103,0.240,3.3%,14.9%,16.7%,6.4%,91.2,270.4,5,3,8.3%,4.2%,8.3%,45.8%,12.5%,72.3,21.7%,34.8%,15.2%,97.9%,37.5%,11.1%,12.5%,45.8%,25.0%,45.8%,29.2%,33.3%
Ivan Herrera RHB,,+850,21,30,4.40,1,1,0.304,0.467,0.478,0.174,0.419,13.3%,14.6%,6.7%,5.2%,91.5,248.9,3,1,4.8%,4.8%,14.3%,42.9%,23.8%,74.0,47.4%,34.2%,21.1%,92.7%,19.0%,25.0%,23.8%,47.6%,38.1%,47.6%,14.3%,23.3%
Jimmy Crooks LHB,,+790,15,27,3.40,1,3,0.200,0.259,0.360,0.160,0.272,7.4%,26.1%,25.9%,11.1%,90.4,300.4,6,3,5.6%,-,11.1%,44.4%,38.9%,71.0,17.9%,20.5%,5.1%,90.7%,38.9%,14.3%,27.8%,33.3%,27.8%,27.8%,44.4%,14.8%
Bryan Torres LHB,,+1020,16,27,3.40,1,1,0.208,0.296,0.417,0.208,0.309,11.1%,25.5%,14.8%,11.9%,87.3,267.4,4,4,10.0%,5.0%,15.0%,35.0%,35.0%,66.4,-,32.6%,4.3%,100.0%,30.0%,16.7%,25.0%,40.0%,40.0%,35.0%,25.0%,29.6%
Pedro Pages RHB,—,N/A,19,20,3.00,1,1,0.263,0.300,0.474,0.211,0.334,5.0%,20.0%,15.0%,8.6%,77.2,245.9,1,1,6.2%,-,12.5%,37.5%,37.5%,72.8,33.3%,29.2%,20.8%,82.8%,37.5%,16.7%,18.8%,18.8%,25.0%,37.5%,37.5%,27.3%
Jose Fermin RHB,—,N/A,17,18,3.40,1,1,0.333,0.333,0.556,0.222,0.385,-,21.2%,22.2%,9.1%,84.0,240.7,1,1,7.1%,7.1%,21.4%,35.7%,35.7%,68.0,3.4%,34.5%,10.3%,87.9%,21.4%,33.3%,21.4%,50.0%,57.1%,21.4%,21.4%,0.0%
Blaze Jordan RHB,,+990,1,11,3.75,1,1,0.364,0.364,0.636,0.273,0.434,-,29.2%,9.1%,15.9%,94.0,275.9,1,1,10.0%,10.0%,20.0%,70.0%,10.0%,73.3,36.4%,36.4%,13.6%,91.7%,10.0%,100.0%,-,80.0%,40.0%,50.0%,10.0%,45.5%
Masyn Winn RHB,,+1120,16,29,3.80,0,0,0.148,0.207,0.185,0.037,0.183,3.4%,26.8%,17.2%,12.1%,86.3,220.8,2,2,4.5%,-,13.6%,40.9%,45.5%,71.3,7.9%,31.6%,21.1%,92.7%,9.1%,0.0%,31.8%,40.9%,22.7%,63.6%,13.6%,27.6%
Nathan Church LHB,,+1040,21,27,3.40,0,0,0.320,0.370,0.400,0.080,0.340,7.4%,31.6%,40.7%,18.7%,83.3,186.5,0,0,-,-,7.1%,21.4%,28.6%,69.5,5.6%,9.9%,2.8%,89.9%,7.1%,0.0%,14.3%,64.3%,35.7%,35.7%,28.6%,25.9%
Nelson Velazquez RHB,—,N/A,-,8,2.60,0,0,0.375,0.375,0.375,-,0.334,-,30.8%,25.0%,13.3%,79.8,165.6,0,0,-,-,16.7%,33.3%,33.3%,73.8,45.5%,9.1%,9.1%,91.7%,-,-,33.3%,66.7%,50.0%,33.3%,16.7%,25.0%
