Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Eric Wagaman","NYM","Sean Burke","CWS","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","1"
"Luis Garcia Jr.","NYY","Mason Fluharty","TOR","1","1.000","0.00","3.00","4.00","0","0","0","1","1","2","4","0.0","1.000","0"
"Cal Raleigh","SEA","Matthew Boyd","CHC","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","1"
"Jeff McNeil","ATH","Hayden Wesneski","HOU","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","0"
"Wilyer Abreu","BOS","Logan Webb","SF","2","1.000","1.00","1.50","2.50","0","1","1","0","2","1","5","0.0","1.000","1"
"Brayan Rocchio","CLE","Tanner Gordon","COL","2","1.000","1.00","1.00","2.00","1","0","1","0","1","2","4","0.0","1.000","0"
"Ryan Vilade","TB","Trevor Rogers","BAL","4","1.000","0.75","1.50","2.50","1","1","1","1","3","3","10","0.0","0.833","1"
"TJ Friedl","CIN","Eduardo Rodriguez","ARI","4","0.750","0.67","1.25","2.00","1","0","1","1","2","4","8","0.0","0.600","0"
"Michael Busch","CHC","Emerson Hancock","SEA","3","0.667","0.50","1.00","1.67","1","0","0","1","1","3","5","0.0","0.750","1"
"Bo Bichette","NYM","Sean Burke","CWS","3","0.667","0.67","0.33","1.00","1","1","0","0","1","1","3","0.0","0.667","0"
"Yandy Diaz","TB","Trevor Rogers","BAL","13","0.538","0.64","0.23","0.77","4","3","0","0","3","2","10","15.4","0.571","1"
"Carter Jensen","KC","Troy Melton","DET","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.667","1"
"Pete Crow-Armstrong","CHC","Emerson Hancock","SEA","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Isaac Collins","KC","Troy Melton","DET","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","50.0","0.667","1"
"Andy Pages","LAD","Bubba Chandler","PIT","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Bobby Witt Jr.","KC","Troy Melton","DET","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Shohei Ohtani","LAD","Bubba Chandler","PIT","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Adam Frazier","LAA","MacKenzie Gore","TEX","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.667","1"
"Hao-Yu  Lee","DET","Noah Cameron","KC","4","0.500","0.50","0.75","1.25","0","1","1","0","2","1","5","0.0","0.500","0"
"Brandon Nimmo","TEX","Reid Detmers","LAA","7","0.429","0.67","0.43","0.86","2","0","0","1","1","1","6","42.9","0.556","1"
"Jackson Chourio","MIL","Chris Sale","ATL","12","0.417","0.56","0.08","0.50","4","1","0","0","1","0","6","25.0","0.417","0"
"Caleb Durbin","BOS","Logan Webb","SF","5","0.400","0.50","0.20","0.60","1","1","0","0","1","1","3","20.0","0.500","0"
"Colton Cowser","BAL","Freddy Peralta","TB","5","0.400","0.33","0.80","1.20","0","1","0","1","2","1","6","20.0","0.400","0"
"Taylor Trammell","HOU","J.T. Ginn","ATH","5","0.400","0.67","0.20","0.60","1","1","0","0","1","0","3","40.0","0.400","0"
"Bryce Eldridge","SF","Sonny Gray","BOS","3","0.333","1.00","0.33","0.67","0","1","0","0","1","0","2","66.7","0.333","0"
"Yainer Diaz","HOU","J.T. Ginn","ATH","3","0.333","0.33","0.33","0.67","0","1","0","0","1","1","2","0.0","0.333","0"
"Geraldo Perdomo","ARI","Nick Lodolo","CIN","6","0.333","0.33","0.50","0.83","1","0","0","1","1","1","5","33.3","0.333","0"
"Ian Happ","CHC","Emerson Hancock","SEA","6","0.333","0.00","1.00","1.33","0","0","0","2","2","4","8","16.7","0.333","0"
"Christian Walker","HOU","J.T. Ginn","ATH","6","0.333","0.33","0.50","0.83","1","0","0","1","1","3","5","33.3","0.429","1"
"Willy Adames","SF","Sonny Gray","BOS","19","0.316","0.42","0.21","0.53","4","1","0","1","2","2","10","31.6","0.519","8"
"Randal Grichuk","CWS","Sean Manaea","NYM","19","0.316","0.25","0.47","0.79","2","1","1","2","4","2","15","5.3","0.381","2"
"Joey Ortiz","MIL","Chris Sale","ATL","10","0.300","0.50","0.20","0.50","1","2","0","0","2","1","5","40.0","0.364","1"
"George Springer","TOR","Cam Schlittler","NYY","10","0.300","0.33","0.10","0.40","2","1","0","0","1","1","4","20.0","0.467","3"
"Andrew Vaughn","MIL","Chris Sale","ATL","7","0.286","0.50","0.14","0.43","1","1","0","0","1","1","3","42.9","0.375","1"
"Rafael Devers","SF","Sonny Gray","BOS","21","0.286","0.29","0.33","0.62","3","1","0","2","3","8","13","23.8","0.348","2"
"Ivan Herrera","STL","Jesus Luzardo","PHI","4","0.250","0.25","0.25","0.50","0","1","0","0","1","0","2","0.0","0.400","0"
"Michael Toglia","CIN","Eduardo Rodriguez","ARI","4","0.250","0.50","0.25","0.50","0","1","0","0","1","1","2","50.0","0.400","1"
"Alex Bregman","CHC","Emerson Hancock","SEA","4","0.250","0.50","0.25","0.50","0","1","0","0","1","0","2","50.0","0.250","0"
"Chandler Simpson","TB","Trevor Rogers","BAL","8","0.250","0.25","0.13","0.38","1","1","0","0","1","0","3","0.0","0.250","0"
"Taylor Walls","TB","Trevor Rogers","BAL","8","0.250","0.25","0.13","0.38","1","1","0","0","1","0","3","0.0","0.333","1"
"Tyler O'Neill","BAL","Freddy Peralta","TB","16","0.250","0.44","0.06","0.31","3","1","0","0","1","1","5","43.8","0.294","1"
"Kazuma Okamoto","TOR","Cam Schlittler","NYY","9","0.222","0.25","0.33","0.56","1","0","0","1","1","1","5","44.4","0.222","0"
"Pete Alonso","BAL","Freddy Peralta","TB","9","0.222","0.29","0.11","0.33","1","1","0","0","1","1","3","22.2","0.533","3"
"Mike Trout","LAA","MacKenzie Gore","TEX","9","0.222","0.17","0.33","0.56","1","0","0","1","1","2","5","22.2","0.364","2"
"Corey Seager","TEX","Reid Detmers","LAA","23","0.217","0.25","0.13","0.35","4","0","0","1","1","1","8","26.1","0.379","4"
"Jung Hoo Lee","SF","Sonny Gray","BOS","5","0.200","0.20","0.20","0.40","0","1","0","0","1","0","2","0.0","0.200","0"
"Jonny DeLuca","TB","Trevor Rogers","BAL","5","0.200","0.33","0.20","0.40","0","1","0","0","1","2","2","40.0","0.200","0"
"Gabriel Moreno","ARI","Nick Lodolo","CIN","5","0.200","0.25","0.20","0.40","0","1","0","0","1","0","2","20.0","0.200","0"
"Adley Rutschman","BOS","Logan Webb","SF","5","0.200","0.25","0.20","0.40","0","1","0","0","1","1","2","20.0","0.200","0"
"Zach Neto","LAA","MacKenzie Gore","TEX","10","0.200","0.40","0.20","0.40","0","2","0","0","2","0","4","50.0","0.333","2"
"Jake Burger","TEX","Reid Detmers","LAA","10","0.200","0.20","0.30","0.50","1","0","0","1","1","2","5","40.0","0.273","1"
"Ildemaro Vargas","ARI","Nick Lodolo","CIN","10","0.200","0.13","0.30","0.50","1","0","0","1","1","1","5","10.0","0.273","1"
"Gary Sanchez","MIL","Chris Sale","ATL","31","0.194","0.29","0.03","0.23","5","1","0","0","1","2","7","35.5","0.235","2"
"Seiya Suzuki","CHC","Emerson Hancock","SEA","6","0.167","0.00","0.50","0.67","0","0","0","1","1","1","4","50.0","0.167","0"
"Carson Kelly","CHC","Emerson Hancock","SEA","6","0.167","0.17","0.17","0.33","0","1","0","0","1","0","2","0.0","0.167","0"
"Justin Foscue","TEX","Reid Detmers","LAA","7","0.143","0.00","0.43","0.57","0","0","0","1","1","1","4","42.9","0.333","2"
