Matchup,ARI @ TB
Pitcher,Nick Martinez
Pitcher Team,TB
Opposing Team,ARI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,9.2,1.76,="13-41",.317,.463,0.146,0,6,0,3,13.0,4,.370,.833
Batting Second,11.0,1.18,="11-43",.256,.372,0.116,1,2,0,2,13.0,2,.304,.676
Batting Third,11.2,1.03,="10-43",.233,.349,0.116,1,2,0,6,11.1,2,.267,.616
Batting Fourth,10.0,1.20,="11-42",.262,.476,0.214,2,3,0,2,20.9,1,.279,.755
Batting Fifth,10.2,0.75,="7-39",.179,.205,0.026,0,1,0,0,15.0,1,.200,.405
Batting Sixth,9.1,1.29,="11-36",.306,.500,0.194,1,2,1,6,12.8,1,.316,.816
Batting Seventh,8.0,1.75,="11-34",.324,.500,0.176,1,3,0,2,13.5,3,.378,.878
Batting Eighth,9.2,0.72,="5-33",.152,.182,0.030,0,1,0,0,17.1,2,.200,.382
Batting Ninth,8.0,1.00,="7-29",.241,.517,0.276,2,2,0,5,21.2,1,.281,.798

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Ketel Marte SHB,Batting First ​,="73-268",.272,.478,0.206,12,17,1,43,14.3,22,.327,.805
Geraldo Perdomo SHB,Batting Second ​,="7-40",.175,.225,0.050,0,2,0,3,12.2,9,.327,.552
Corbin Carroll LHB,Batting Third ​,="19-85",.224,.400,0.176,3,4,1,11,23.4,6,.287,.687
Gabriel Moreno RHB,Batting Fourth ​,="20-67",.299,.373,0.074,0,5,0,8,13.0,7,.364,.737
Nolan Arenado RHB,Batting Fifth ​,="10-60",.167,.300,0.133,2,2,0,5,16.1,0,.177,.477
Lourdes Gurriel Jr. RHB,Batting Seventh ​,="4-20",.200,.300,0.100,0,2,0,3,19.0,0,.238,.538
Pavin Smith LHB,Batting Eighth ​,="2-5",.400,1.000,0.600,1,0,0,2,16.7,1,.500,1.500
Tommy Troy RHB,Batting Ninth ​,="15-63",.238,.397,0.159,2,2,1,4,20.5,10,.342,.739
