Split,vsRHB
Range,L10
Dates,="7/23/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
3:07 PM,Shane Bieber,vs,10.2,51,7.32,0.396,0.477,2.06,0.313,0.708,4,3.38,34,25.6%,15.7%,17.4%,12.2%,6.75,3,5.9%,56.9%,8.5%,40,55.0%,5,12.5%,25.0%,40.0%,22.5%
1:10 PM,Gavin Williams,vs,17.1,75,6.68,0.271,0.374,1.33,0.300,0.571,7,3.63,40,30.1%,29.3%,18.5%,14.6%,11.42,4,5.3%,66.7%,9.5%,47,55.3%,7,14.9%,29.8%,50.0%,14.9%
12:15 PM,Chris Sale,vs,43.0,181,2.22,0.263,0.287,1.26,0.072,0.335,2,0.42,56,31.4%,27.6%,21.1%,16.1%,10.47,10,5.5%,62.8%,7.4%,119,37.0%,6,5.0%,26.1%,6.5%,17.6%
5:15 PM,Michael McGreevy,vs,22.0,88,3.74,0.250,0.300,1.09,0.179,0.429,3,1.23,36,17.9%,19.3%,15.7%,8.7%,6.95,3,3.4%,69.3%,5.3%,68,41.2%,7,10.3%,26.5%,16.7%,17.6%
1:10 PM,Taj Bradley,@,24.1,100,3.43,0.237,0.293,1.19,0.151,0.387,3,1.11,36,23.6%,26.0%,20.0%,11.6%,9.62,7,7.0%,58.0%,7.7%,67,43.3%,2,3.0%,29.9%,15.0%,17.9%
6:40 PM,Randy Dobnak,@,4.2,23,7.81,0.222,0.383,1.93,0.278,0.500,1,1.93,9,21.4%,13.0%,11.1%,8.7%,5.79,5,21.7%,60.9%,1.9%,15,60.0%,2,13.3%,13.3%,50.0%,26.7%
5:15 PM,Brandon Pfaadt,@,13.1,55,2.80,0.216,0.234,0.98,0.020,0.235,0,-,12,9.2%,14.5%,16.3%,4.4%,5.40,2,3.6%,67.3%,9.3%,43,39.5%,4,9.3%,16.3%,-,16.3%
6:40 PM,Troy Melton,vs,24.1,90,1.74,0.193,0.206,0.78,0.068,0.261,1,0.37,23,30.4%,28.9%,24.3%,15.6%,9.62,2,2.2%,62.2%,6.6%,62,37.1%,3,4.8%,11.3%,-,17.7%
12:15 PM,Griffin Canning,@,19.0,77,3.10,0.191,0.253,1.11,0.074,0.265,1,0.47,18,27.1%,26.0%,25.6%,11.6%,9.47,8,10.4%,55.8%,7.6%,48,41.7%,3,6.2%,29.2%,7.1%,12.5%
3:07 PM,Ian Seymour,@,28.1,109,3.14,0.140,0.214,0.92,0.086,0.226,2,0.64,21,30.0%,29.4%,21.3%,14.3%,10.16,13,11.9%,63.1%,10.9%,64,31.2%,3,4.7%,29.7%,10.5%,23.4%
