Matchup,KC @ BAL
Pitcher,Kyle Bradish
Pitcher Team,BAL
Opposing Team,KC

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.2,1.66,="14-51",.275,.451,0.176,2,1,1,6,25.9,7,.362,.813
Batting Second,10.1,2.32,="17-46",.370,.543,0.173,1,5,0,6,17.0,7,.453,.996
Batting Third,14.0,0.79,="5-46",.109,.217,0.108,1,2,0,1,32.7,6,.212,.429
Batting Fourth,9.2,1.66,="9-39",.231,.436,0.205,2,2,0,5,28.3,7,.348,.784
Batting Fifth,11.0,1.27,="10-41",.244,.561,0.317,3,2,1,8,21.7,4,.304,.865
Batting Sixth,9.2,1.66,="10-38",.263,.368,0.105,1,1,0,2,22.7,6,.364,.732
Batting Seventh,10.2,1.31,="10-40",.250,.350,0.100,1,1,0,4,15.9,4,.318,.668
Batting Eighth,10.0,1.50,="11-39",.282,.410,0.128,1,2,0,6,18.6,4,.349,.759
Batting Ninth,11.0,0.91,="7-39",.179,.231,0.052,0,2,0,3,27.9,3,.256,.487

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Carter Jensen LHB,Batting First ​,="30-117",.256,.496,0.240,7,7,0,23,27.3,10,.313,.809
Bobby Witt Jr. RHB,Batting Second ​,="101-351",.288,.464,0.176,13,21,1,39,17.0,39,.358,.822
Jac Caglianone LHB,Batting Third ​,="20-80",.250,.563,0.313,7,2,1,13,27.1,3,.282,.845
Lane Thomas RHB,Batting Fourth ​,="7-39",.179,.385,0.206,1,5,0,3,29.5,5,.273,.658
Vinnie Pasquantino LHB,Batting Fifth ​,="4-24",.167,.208,0.041,0,1,0,0,19.2,1,.231,.439
Salvador Perez RHB,Batting Sixth ​,="9-48",.188,.229,0.041,0,2,0,2,22.9,0,.188,.417
Michael Massey LHB,Batting Seventh ​,="19-44",.432,.727,0.295,3,4,0,9,11.1,1,.444,1.171
Nick Loftin RHB,Batting Eighth ​,="14-72",.194,.375,0.181,2,5,1,13,13.1,8,.277,.652
Isaac Collins SHB,Batting Ninth ​,="15-47",.319,.468,0.149,1,4,0,3,15.4,4,.385,.853
