Matchup,COL @ LAD
Pitcher,Justin Wrobleski
Pitcher Team,LAD
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,64.0,252,0.232,0.272,0.369,0.137,1.02,8,1.12,3.6%,21.8%,19.4%,17.4%,11.2%,6.89,62.5%,9.5%,9.3%,47.7%,32.6%,12.7%,11.4%
vsLHB,16.0,63,0.220,0.297,0.441,0.220,0.94,4,2.25,3.2%,34.2%,28.6%,25.4%,17.3%,10.12,57.1%,9.3%,9.5%,38.1%,33.3%,28.6%,7.1%
vsRHB,48.0,189,0.236,0.265,0.346,0.110,1.04,4,0.75,3.7%,17.8%,16.4%,14.8%,9.2%,5.81,64.2%,9.5%,9.3%,50.3%,32.5%,8.2%,12.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jake McCarthy LHB,,+1020,23,15,4.60,2,2,0.467,0.467,1.000,0.533,0.625,-,15.6%,6.7%,10.9%,79.9,253.5,2,2,14.3%,14.3%,14.3%,21.4%,35.7%,69.4,3.6%,25.0%,10.7%,90.3%,42.9%,14.3%,100.0%,28.6%,42.9%,21.4%,28.6%,50.0%,64.7%
Troy Johnston LHB,,+1020,16,17,3.40,1,0,0.312,0.353,0.500,0.188,0.371,5.9%,9.7%,5.9%,6.7%,92.1,229.2,1,0,-,-,15.4%,53.8%,15.4%,71.2,9.1%,36.4%,18.2%,84.6%,46.2%,30.8%,0.0%,15.4%,46.2%,46.2%,38.5%,15.4%,72.2%
Hunter Goodman RHB,,+265,52,15,4.40,1,1,0.333,0.467,0.583,0.250,0.448,20.0%,34.8%,33.3%,17.8%,102.9,272.5,2,1,28.6%,28.6%,28.6%,85.7%,28.6%,75.9,63.6%,27.3%,27.3%,95.7%,42.9%,28.6%,50.0%,14.3%,42.9%,42.9%,28.6%,28.6%,36.4%
Ezequiel Tovar RHB,,+584,23,11,3.20,1,1,0.222,0.273,0.556,0.333,0.331,9.1%,19.4%,18.2%,11.3%,83.4,248.9,2,1,12.5%,12.5%,25.0%,12.5%,62.5%,73.2,39.3%,3.6%,3.6%,90.3%,62.5%,37.5%,33.3%,25.0%,25.0%,37.5%,25.0%,37.5%,50.0%
TJ Rumfield LHB,,+730,12,19,3.80,0,0,0.333,0.368,0.444,0.111,0.355,5.3%,28.1%,15.8%,14.8%,77.4,222.0,1,1,-,-,40.0%,-,33.3%,67.7,3.4%,17.2%,-,90.6%,60.0%,20.0%,0.0%,40.0%,40.0%,46.7%,40.0%,13.3%,50.0%
Willi Castro SHB,,+566,16,14,3.80,0,0,0.231,0.286,0.231,-,0.242,-,30.0%,35.7%,17.3%,81.4,160.9,1,0,-,-,50.0%,12.5%,37.5%,75.1,60.7%,7.1%,3.6%,93.3%,37.5%,12.5%,0.0%,25.0%,37.5%,50.0%,25.0%,25.0%,33.3%
Braxton Fulford RHB,,+600,13,14,2.20,0,0,0.182,0.357,0.273,0.091,0.298,14.3%,40.9%,42.9%,15.3%,90.7,276.9,2,0,20.0%,-,20.0%,20.0%,60.0%,73.3,41.7%,25.0%,8.3%,85.7%,60.0%,20.0%,0.0%,40.0%,20.0%,20.0%,60.0%,20.0%,31.2%
Mickey Moniak LHB,—,N/A,14,13,3.20,0,0,0.364,0.462,0.364,-,0.385,-,21.1%,15.4%,9.1%,83.9,186.9,0,0,-,-,11.1%,44.4%,-,73.9,36.8%,21.1%,10.5%,100.0%,33.3%,22.2%,0.0%,11.1%,55.6%,55.6%,44.4%,-,0.0%
Brett Sullivan LHB,—,N/A,9,12,3.00,0,0,0.200,0.333,0.200,-,0.262,8.3%,29.4%,8.3%,12.5%,84.2,121.8,0,0,-,-,-,33.3%,11.1%,65.7,7.1%,21.4%,-,87.5%,11.1%,-,-,11.1%,66.7%,44.4%,22.2%,33.3%,46.7%
Tyler Freeman RHB,,+870,22,12,4.00,0,0,0.400,0.500,0.400,-,0.411,8.3%,21.1%,16.7%,10.8%,88.0,275.7,3,0,-,-,12.5%,25.0%,37.5%,70.1,18.8%,37.5%,6.2%,84.2%,62.5%,37.5%,0.0%,25.0%,25.0%,12.5%,12.5%,75.0%,30.8%
