Matchup,CHC @ NYM
Pitcher,Javier Assad
Pitcher Team,CHC
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,44.0,172,0.217,0.273,0.366,0.149,1.00,6,1.23,5.2%,13.1%,14.5%,13.9%,5.8%,5.11,58.7%,8.4%,5.8%,46.7%,27.0%,16.2%,8.0%
vsLHB,21.2,91,0.250,0.342,0.500,0.250,1.29,6,2.49,7.7%,13.4%,16.5%,13.6%,5.9%,6.23,60.4%,8.0%,10.1%,50.7%,36.2%,24.0%,10.1%
vsRHB,22.1,81,0.182,0.194,0.221,0.039,0.72,0,-,2.5%,12.8%,12.3%,14.3%,5.8%,4.03,56.8%,8.9%,1.5%,42.6%,17.6%,-,5.9%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Juan Soto LHB,—,N/A,40,22,3.80,3,4,0.474,0.545,1.053,0.579,0.652,13.6%,21.6%,13.6%,7.5%,90.9,268.8,5,4,6.7%,6.7%,26.7%,60.0%,33.3%,70.9,15.6%,34.4%,21.9%,91.4%,26.7%,75.0%,33.3%,20.0%,26.7%,60.0%,13.3%,8.7%
Carson Benge LHB,—,N/A,29,27,4.60,2,3,0.333,0.407,0.667,0.333,0.455,7.4%,14.0%,11.1%,7.3%,90.1,279.3,3,3,10.0%,5.0%,20.0%,30.0%,35.0%,70.9,22.2%,33.3%,11.1%,90.0%,55.0%,18.2%,25.0%,20.0%,25.0%,30.0%,45.0%,36.4%
Bo Bichette RHB,—,N/A,20,16,4.40,2,2,0.333,0.375,0.733,0.400,0.470,6.2%,29.6%,18.8%,13.1%,90.5,285.8,3,2,18.2%,9.1%,9.1%,45.5%,36.4%,69.1,8.3%,25.0%,20.8%,88.9%,27.3%,66.7%,18.2%,45.5%,27.3%,27.3%,45.5%,27.8%
A.J. Ewing LHB,—,N/A,25,21,3.40,1,1,0.278,0.381,0.556,0.278,0.398,14.3%,12.5%,14.3%,6.0%,87.5,277.6,4,2,-,-,13.3%,33.3%,40.0%,70.7,15.4%,23.1%,7.7%,97.5%,20.0%,33.3%,33.3%,40.0%,26.7%,46.7%,26.7%,28.6%
Francisco Alvarez RHB,—,N/A,30,19,4.00,1,1,0.222,0.263,0.389,0.167,0.285,5.3%,26.5%,26.3%,15.5%,87.4,273.1,3,1,15.4%,-,23.1%,38.5%,38.5%,73.2,28.1%,21.9%,15.6%,94.1%,38.5%,20.0%,15.4%,38.5%,38.5%,53.8%,7.7%,35.3%
Luis Torrens RHB,—,N/A,18,15,3.80,1,2,0.214,0.267,0.500,0.286,0.332,-,11.5%,13.3%,5.9%,84.2,252.6,2,2,16.7%,-,-,25.0%,41.7%,70.8,9.1%,31.8%,13.6%,84.6%,25.0%,33.3%,25.0%,41.7%,8.3%,33.3%,58.3%,30.8%
Marcus Semien RHB,—,N/A,24,13,4.20,1,1,0.167,0.231,0.417,0.250,0.280,7.7%,21.1%,30.8%,10.0%,81.0,188.5,1,1,12.5%,-,25.0%,37.5%,50.0%,68.5,5.6%,16.7%,11.1%,94.7%,12.5%,100.0%,37.5%,37.5%,50.0%,50.0%,-,44.4%
Jared Young LHB,—,N/A,30,25,3.20,0,1,0.125,0.160,0.167,0.042,0.148,4.0%,17.1%,8.0%,7.7%,90.0,222.9,3,3,4.8%,-,9.5%,42.9%,14.3%,73.5,36.8%,31.6%,15.8%,97.4%,14.3%,0.0%,14.3%,52.4%,19.0%,61.9%,19.0%,28.0%
Brett Baty LHB,—,N/A,24,20,3.00,0,1,0.188,0.350,0.188,-,0.270,10.0%,24.2%,20.0%,11.1%,85.8,241.9,2,0,-,-,-,41.7%,16.7%,74.5,45.5%,21.2%,3.0%,100.0%,25.0%,0.0%,-,58.3%,25.0%,25.0%,50.0%,39.1%
MJ Melendez LHB,—,N/A,27,16,2.40,0,1,0.154,0.312,0.231,0.077,0.257,18.8%,40.0%,37.5%,14.5%,98.5,278.2,3,1,14.3%,-,28.6%,71.4%,42.9%,74.0,29.2%,25.0%,16.7%,80.0%,28.6%,0.0%,28.6%,28.6%,42.9%,42.9%,14.3%,26.7%
