Matchup,CWS @ NYY
Pitcher,Davis Martin
Pitcher Team,CWS
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,78.1,313,0.237,0.274,0.333,0.096,1.10,3,0.34,5.4%,27.6%,25.2%,22.1%,13.7%,9.08,59.4%,8.2%,6.1%,46.5%,19.2%,4.9%,17.8%
vsLHB,48.1,181,0.206,0.248,0.318,0.112,0.93,2,0.37,5.5%,21.6%,23.8%,19.1%,10.3%,8.01,56.9%,8.8%,7.8%,49.2%,20.3%,3.8%,20.3%
vsRHB,29.1,132,0.281,0.310,0.355,0.074,1.40,1,0.31,5.3%,36.2%,27.3%,27.3%,19.0%,11.05,62.9%,7.3%,3.5%,42.4%,17.6%,6.7%,14.1%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jose Caballero RHB,,+1060,8,20,4.40,2,2,0.389,0.450,0.778,0.389,0.516,10.0%,14.3%,15.0%,6.6%,86.5,306.9,4,2,7.1%,-,7.1%,21.4%,42.9%,68.9,9.4%,28.1%,6.2%,91.4%,28.6%,50.0%,28.6%,42.9%,21.4%,28.6%,50.0%,19.0%
Ben Rice LHB,,+300,31,26,4.80,1,1,0.286,0.423,0.476,0.190,0.391,19.2%,15.9%,19.2%,7.1%,93.3,268.3,3,2,-,-,25.0%,43.8%,43.8%,72.5,39.0%,34.1%,14.6%,93.2%,18.8%,33.3%,31.2%,50.0%,56.2%,18.8%,25.0%,41.7%
Jazz Chisholm Jr. LHB,,+490,41,25,4.20,1,1,0.100,0.240,0.250,0.150,0.223,16.0%,22.5%,24.0%,8.4%,90.3,310.7,3,2,6.7%,6.7%,13.3%,46.7%,13.3%,72.5,30.8%,28.2%,5.1%,100.0%,26.7%,25.0%,13.3%,53.3%,53.3%,20.0%,26.7%,28.6%
Cody Bellinger LHB,,+470,23,24,4.60,1,1,0.227,0.292,0.364,0.136,0.290,8.3%,20.8%,4.2%,11.6%,90.5,286.4,4,2,9.5%,4.8%,9.5%,47.6%,28.6%,69.1,4.9%,36.6%,14.6%,85.4%,28.6%,16.7%,19.0%,47.6%,38.1%,52.4%,9.5%,57.1%
Ryan McMahon LHB,,+526,24,20,3.00,1,1,0.263,0.300,0.421,0.158,0.315,5.0%,36.6%,30.0%,17.0%,89.9,288.4,3,2,15.4%,-,-,46.2%,30.8%,75.4,56.8%,18.9%,16.2%,92.5%,38.5%,20.0%,15.4%,46.2%,23.1%,46.2%,30.8%,20.0%
Spencer Jones LHB,,+552,25,19,3.40,1,1,0.353,0.421,0.588,0.235,0.433,10.5%,31.0%,31.6%,15.5%,99.6,393.1,3,3,10.0%,-,-,90.0%,20.0%,77.6,76.3%,23.7%,13.2%,90.5%,30.0%,33.3%,-,70.0%,30.0%,60.0%,10.0%,45.5%
Paul Goldschmidt RHB,,+570,15,24,4.80,0,0,0.304,0.292,0.348,0.043,0.275,-,22.0%,8.3%,14.8%,81.5,233.6,3,1,-,-,18.2%,22.7%,31.8%,71.6,23.7%,23.7%,7.9%,92.7%,18.2%,0.0%,22.7%,45.5%,31.8%,45.5%,22.7%,55.0%
J.C. Escarra LHB,,+880,16,23,2.80,0,0,0.238,0.304,0.286,0.048,0.266,8.7%,21.2%,17.4%,9.3%,84.4,294.3,4,1,-,-,12.5%,25.0%,18.8%,68.9,3.3%,36.7%,6.7%,93.8%,25.0%,0.0%,18.8%,43.8%,31.2%,37.5%,31.2%,14.3%
Jasson Dominguez SHB,,+590,8,21,4.40,0,0,0.105,0.190,0.105,-,0.150,4.8%,15.8%,9.5%,7.9%,86.1,205.1,0,0,-,-,-,23.5%,17.6%,74.5,32.4%,23.5%,5.9%,91.9%,17.6%,0.0%,11.8%,58.8%,47.1%,17.6%,35.3%,50.0%
Anthony Volpe RHB,—,N/A,10,15,3.80,0,0,0.154,0.267,0.231,0.077,0.231,13.3%,25.9%,26.7%,12.5%,82.6,203.3,0,0,-,-,25.0%,12.5%,25.0%,70.9,9.1%,13.6%,-,84.6%,25.0%,0.0%,37.5%,37.5%,37.5%,37.5%,25.0%,28.6%
Max Schuemann RHB,—,N/A,5,13,2.20,0,0,0.100,0.308,0.100,-,0.218,23.1%,36.4%,38.5%,11.4%,87.2,310.7,2,0,-,-,-,40.0%,20.0%,69.7,6.2%,6.2%,6.2%,84.2%,60.0%,0.0%,-,40.0%,-,80.0%,20.0%,29.4%
Amed Rosario RHB,—,N/A,10,10,2.20,0,0,0.300,0.300,0.300,-,0.267,-,33.3%,30.0%,18.6%,89.1,208.6,0,0,-,-,-,28.6%,28.6%,73.4,29.4%,5.9%,5.9%,77.3%,28.6%,0.0%,28.6%,28.6%,-,28.6%,71.4%,46.2%
Ali Sanchez RHB,—,N/A,-,2,2.20,0,0,-,0.500,-,-,0.324,50.0%,0.0%,-,-,85.8,-,0,0,-,-,-,-,-,69.8,-,50.0%,-,100.0%,-,-,-,100.0%,100.0%,-,-,33.3%
